process_id,match_namespace,wall_seconds,phase,round,visible_alive,logical_alive,encounters,neutral_round,frame_counter,frontend_page,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
36432,1,45.492356,1,1,2,42,7,1,12414,closed,125.95269,5.1253,0.3886,20.0182,1
36432,1,45.505349,1,1,2,42,7,1,12415,closed,16.666702,105.280602,2.9576,126.326698,1
36432,1,50.645523,2,1,2,29,0,1,12719,closed,90.195595,2.0697,0.3022,17.2647,1
36432,1,50.662364,2,1,2,29,0,1,12720,closed,16.670599,70.8591,3.6222,91.585503,1
36432,1,54.683219,0,2,0,0,0,1,12955,closed,120.692406,1.7937,0.4209,16.3594,1
36432,1,54.699856,0,2,0,0,0,1,12956,closed,16.6668,102.455803,4.8293,123.791298,1
36432,1,79.539035,1,2,2,44,7,1,14439,closed,130.269608,5.5266,0.4296,20.673599,1
36432,1,79.552067,1,2,2,44,7,1,14440,closed,16.666698,111.697197,3.1217,129.985504,1
36432,1,85.594245,2,2,2,30,0,1,14797,closed,103.458595,2.8728,0.3114,16.2836,1
36432,1,85.610969,2,2,2,30,0,1,14798,closed,16.666901,82.082199,2.907,102.141899,1
36432,1,89.629485,0,3,0,0,0,1,15033,closed,118.091499,1.9782,0.3878,16.3491,1
36432,1,89.646145,0,3,0,0,0,1,15034,closed,16.666901,100.631104,4.318,119.112701,1
36432,1,114.491518,1,3,3,58,7,1,16517,closed,129.602005,7.615,0.4049,21.6238,1
36432,1,114.503351,1,3,3,58,7,1,16518,closed,16.666901,112.4506,3.7637,129.225693,1
36432,1,121.652359,2,3,3,38,0,1,16941,closed,100.191101,2.1163,0.3534,14.2254,1
36432,1,121.66899,2,3,3,38,0,1,16942,closed,16.666698,83.251999,3.33,102.376503,1
36432,1,125.683008,0,4,0,0,0,0,17176,closed,125.4832,2.0009,0.4218,17.3323,1
36432,1,125.699679,0,4,0,0,0,0,17177,closed,16.666901,105.637398,3.4718,127.376404,1
36432,1,150.575348,1,4,5,35,3,0,18661,closed,132.726196,7.0012,0.4057,128.495605,1
36432,1,150.588027,1,4,5,35,3,0,18662,closed,16.6668,111.962601,3.1432,128.495605,1
36432,1,152.460326,1,4,5,35,3,0,18767,closed,134.723312,2.6199,0.6182,17.1961,1
36432,1,152.473185,1,4,5,35,3,0,18768,closed,16.6668,118.159599,3.6911,138.692596,1
36432,1,179.120781,2,4,4,15,0,0,20361,closed,87.138397,2.3702,0.2887,16.281601,1
36432,1,179.137642,2,4,4,15,0,0,20362,closed,16.666901,67.813698,2.7223,87.981102,1
36432,1,182.791245,0,5,5,0,0,1,20580,closed,16.666901,2.2567,16.332199,45.466599,1
36432,1,183.178355,0,5,5,0,0,1,20597,closed,120.381203,1.9869,0.4245,16.499701,1
36432,1,183.195114,0,5,5,0,0,1,20598,closed,16.6668,102.028603,3.4618,122.0895,1
36432,1,207.66537,1,5,3,59,7,1,22064,closed,36.978901,36.865799,3.3275,16.0737,1
36432,1,208.066144,1,5,3,59,7,1,22081,closed,129.299698,6.3703,0.4244,21.1579,1
36432,1,208.078308,1,5,3,59,7,1,22082,closed,16.666901,112.048698,3.595,131.998703,1
36432,1,210.150618,1,5,3,59,7,1,22205,closed,38.311501,37.957001,5.2057,8.8607,1
36432,1,219.556202,2,5,3,38,0,1,22768,closed,38.462204,37.346401,3.1509,9.6605,1
36432,1,219.914528,2,5,3,38,0,1,22785,closed,91.525002,2.7051,0.3984,16.3748,1
36432,1,219.931187,2,5,3,38,0,1,22786,closed,16.666901,72.624496,3.5268,92.393501,1
36432,1,223.985375,0,6,0,0,0,0,23021,closed,127.566307,1.8453,0.459,15.3938,1
36432,1,224.00174,0,6,0,0,0,0,23022,closed,16.667097,110.131302,2.4786,128.884705,1
36432,1,248.397161,1,6,5,35,3,0,24482,closed,52.983299,52.457699,3.1404,16.381001,1
36432,1,248.779197,1,6,5,35,3,0,24498,closed,129.492599,5.377,0.3825,20.2076,1
36432,1,248.792559,1,6,5,35,3,0,24499,closed,16.667002,111.8965,3.327,131.303406,1
36432,1,270.213142,1,6,5,17,1,0,25781,closed,37.758598,37.5056,4.8918,52.054001,1
36432,1,276.29368,2,6,5,16,0,0,26145,closed,36.3125,35.867401,2.7997,16.6912,1
36432,1,276.674075,2,6,5,16,0,0,26163,closed,96.852104,2.7348,0.5158,16.454599,1
36432,1,276.690724,2,6,5,16,0,0,26164,closed,16.6668,74.252098,4.3,98.7658,1
36432,1,280.321404,0,7,0,0,0,0,26380,closed,34.5271,34.492802,2.885,19.1038,1
36432,1,280.726372,0,7,0,0,0,0,26398,closed,121.555099,1.796,0.4084,16.8929,1
36432,1,280.742975,0,7,0,0,0,0,26399,closed,16.6668,103.799797,2.9314,123.153397,1
36432,1,305.219236,1,7,6,42,3,0,27864,closed,44.294098,44.137501,4.8645,16.869301,1
36432,1,305.619975,1,7,6,42,3,0,27881,closed,130.831299,5.0388,0.374,20.286501,1
36432,1,305.633501,1,7,6,42,3,0,27882,closed,16.6668,108.003998,3.2899,130.783203,1
36432,1,310.231557,1,7,6,41,3,0,28156,closed,39.4165,39.355499,5.1877,53.6852,1
36432,1,320.237182,1,7,6,31,3,0,28755,closed,39.134296,38.561199,5.2232,52.509701,1
36432,1,330.23893,1,7,6,21,3,0,29354,closed,34.6264,34.267799,4.4143,49.217602,1
36432,1,340.238839,1,7,6,17,1,0,29953,closed,34.534,34.288898,4.3831,49.006599,1
36432,1,345.326318,2,7,6,16,0,0,30257,closed,42.308201,42.391499,3.7392,16.881701,1
36432,1,345.690954,2,7,6,16,0,0,30274,closed,97.742599,2.8649,0.3364,16.824301,1
36432,1,345.70748,2,7,6,16,0,0,30275,closed,16.666698,74.2341,3.7133,99.858398,1
36432,1,349.350481,0,8,0,0,0,0,30492,closed,43.008801,42.546299,3.4054,17.3598,1
36432,1,349.74841,0,8,0,0,0,0,30509,closed,131.215302,2.0011,0.4484,16.8848,1
36432,1,349.765125,0,8,0,0,0,0,30510,closed,16.666901,112.3582,5.3966,133.533707,1
36432,1,350.249052,0,8,0,0,0,0,30538,closed,34.0252,33.805901,4.439,16.4321,1
36432,1,360.253893,0,8,0,0,0,0,31137,closed,36.804199,35.797199,3.1825,16.082899,1
36432,1,370.259858,0,8,1,0,0,0,31736,closed,38.761902,38.4739,3.3367,16.7321,1
36432,1,374.135149,1,8,7,43,4,0,31967,closed,41.280003,41.0718,3.5965,17.047501,1
36432,1,374.537891,1,8,7,43,4,0,31984,closed,132.507797,5.9965,0.3959,20.5506,1
36432,1,374.551159,1,8,7,43,4,0,31985,closed,16.666901,116.302696,3.4389,134.084595,1
36432,1,376.5901,1,8,7,43,4,0,32100,closed,130.467209,4.0894,0.4183,13.224,1
36432,1,376.60275,1,8,7,43,4,0,32101,closed,16.666901,113.759598,4.5396,136.799194,1
36432,1,377.437587,1,8,7,43,4,0,32144,closed,126.569496,2.6349,0.4566,10.8575,1
36432,1,377.446797,1,8,7,43,4,0,32145,closed,16.666698,116.3853,8.4954,10.8575,1
36432,1,378.290249,1,8,7,43,4,0,32188,closed,138.244095,2.9038,0.4584,11.8651,1
36432,1,378.301816,1,8,7,43,4,0,32189,closed,16.666901,124.981598,2.9269,143.010803,1
36432,1,379.036998,1,8,7,40,4,0,32226,closed,129.3423,2.4802,0.5006,10.0526,1
36432,1,379.047782,1,8,7,40,4,0,32227,closed,16.666901,115.5774,3.2411,134.9991,1
36432,1,379.682553,1,8,7,40,4,0,32258,closed,129.105896,3.0697,0.421,11.2824,1
36432,1,379.693642,1,8,7,40,4,0,32259,closed,16.666897,116.976501,2.9358,136.598602,1
36432,1,380.027395,1,8,7,39,3,0,32272,closed,127.567291,2.8064,0.4369,10.878,1
36432,1,380.038137,1,8,6,39,3,0,32273,closed,16.666698,114.628098,3.2422,133.615601,1
36432,1,380.266817,1,8,6,39,3,0,32285,closed,45.684799,45.146198,3.8318,13.015,1
36432,1,390.281089,1,8,6,28,3,0,32884,closed,45.3046,44.8339,3.6204,16.666599,1
36432,1,400.289227,1,8,6,23,3,0,33483,closed,40.519402,40.193199,3.8479,16.6411,1
36432,1,410.306022,1,8,6,15,1,0,34082,closed,49.376701,48.777802,3.3596,13.5066,1
36432,1,412.976981,2,8,6,14,0,0,34240,closed,51.243801,49.9491,2.9762,17.2278,1
36432,1,413.336601,2,8,6,14,0,0,34257,closed,92.8964,2.2839,0.2865,16.5478,1
36432,1,413.35316,2,8,6,14,0,0,34258,closed,16.667101,72.568703,3.7195,95.763397,1
36432,1,416.978262,0,9,1,0,0,0,34474,closed,41.530697,41.478199,3.389,17.376301,1
36432,1,417.371849,0,9,1,0,0,0,34491,closed,126.883896,1.9614,0.4331,16.6,1
36432,1,417.388492,0,9,1,0,0,0,34492,closed,16.666698,108.890297,2.7355,128.082001,1
36432,1,420.319912,0,9,1,0,0,0,34666,closed,47.913601,47.1409,3.3487,16.2652,1
36432,1,430.327496,0,9,1,0,0,0,35265,closed,40.265202,40.183601,3.1674,16.829399,1
36432,1,440.333824,0,9,1,0,0,0,35864,closed,38.476601,37.805698,2.7021,16.6912,1
36432,1,441.754717,1,9,7,43,4,0,35947,closed,52.608601,52.251499,3.2383,16.565201,1
36432,1,442.156148,1,9,7,43,4,0,35963,closed,144.714996,6.0977,0.4382,141.103104,1
36432,1,442.165314,1,9,7,43,4,0,35964,closed,16.666998,129.383301,5.5493,141.103104,1
36432,1,445.008159,1,9,7,43,4,0,36127,closed,137.675491,3.7511,0.6674,10.84,1
