frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16833665.474745799,499641,frame-00000.png
1,0.100000001,16833665.538809501,491658,frame-00001.png
2,0.150000006,16833665.603926700,486883,frame-00002.png
3,0.200000003,16833665.668233201,490680,frame-00003.png
4,0.250000000,16833665.739539102,493266,frame-00004.png
5,0.300000012,16833665.802372400,491300,frame-00005.png
6,0.350000024,16833665.864100002,494244,frame-00006.png
7,0.000000030,16833665.926881500,476473,frame-00007.png
8,0.050000031,16833665.991653100,499506,frame-00008.png
