case,status,assertions,error
orc_mage_direct_bonuses_add_not_multiply,PASS,39,
priest_support_once_effect1,PASS,39,
orc_mage_do_not_boost_support_effect1,PASS,39,
priest_support_once_effect2,PASS,39,
orc_mage_do_not_boost_support_effect2,PASS,39,
priest_support_once_effect5,PASS,39,
orc_mage_do_not_boost_support_effect5,PASS,39,
priest_does_not_boost_negative_modifier,PASS,39,
elf_actual_attack_and_ability_timing,PASS,353,
rogue_actual_attack_and_ability_timing,PASS,353,
elf_rogue_actual_attack_and_ability_timing,PASS,354,
