C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
01:58.453  render           | Video append frame 64
01:58.469  render           | Video append frame 65
01:58.485  render           | Video append frame 66
01:58.516  render           | Video append frame 67
01:58.532  render           | Video append frame 68
01:58.547  render           | Video append frame 69
01:58.563  render           | Video append frame 70
01:58.578  render           | Video append frame 71
01:58.610  render           | Video append frame 72
01:58.625  render           | Video append frame 73
01:58.641  render           | Video append frame 74
01:58.657  render           | Video append frame 75
01:58.672  render           | Video append frame 76
01:58.703  render           | Video append frame 77
01:58.719  render           | Video append frame 78
01:58.735  render           | Video append frame 79
01:58.750  render           | Video append frame 80
01:58.782  render           | Video append frame 81
01:58.797  render           | Video append frame 82
01:58.813  render           | Video append frame 83
01:58.828  render           | Video append frame 84
01:58.844  render           | Video append frame 85
01:58.875  render           | Video append frame 86
01:58.891  render           | Video append frame 87
01:58.907  render           | Video append frame 88
01:58.922  render           | Video append frame 89
01:58.938  render           | Video append frame 90
01:58.969  render           | Video append frame 91
01:58.985  render           | Video append frame 92
01:59.000  render           | Video append frame 93
01:59.016  render           | Video append frame 94
01:59.032  render           | Video append frame 95
01:59.063  render           | Video append frame 96
01:59.078  render           | Video append frame 97
01:59.094  render           | Video append frame 98
01:59.125  render           | Video append frame 99
01:59.141  render           | Video append frame 100
01:59.157  render           | Video append frame 101
01:59.188  render           | Video append frame 102
01:59.203  render           | Video append frame 103
01:59.219  render           | Video append frame 104
01:59.250  render           | Video append frame 105
01:59.266  render           | Video append frame 106
01:59.282  render           | Video append frame 107
01:59.313  render           | Video append frame 108
01:59.328  render           | Video append frame 109
01:59.344  render           | Video append frame 110
01:59.375  render           | Video append frame 111
01:59.391  render           | Video append frame 112
01:59.407  render           | Video append frame 113
01:59.438  render           | Video append frame 114
01:59.453  render           | Video append frame 115
01:59.469  render           | Video append frame 116
01:59.500  render           | Video append frame 117
01:59.516  render           | Video append frame 118
01:59.532  render           | Video append frame 119
01:59.563  render           | Video append frame 120
01:59.578  render           | Video append frame 121
01:59.625  render           | Video append frame 1
01:59.641  render           | Video append frame 2
01:59.657  render           | Video append frame 3
01:59.688  render           | Video append frame 4
01:59.703  render           | Video append frame 5
01:59.719  render           | Video append frame 6
01:59.750  render           | Video append frame 7
01:59.766  render           | Video append frame 8
01:59.782  render           | Video append frame 9
01:59.797  render           | Video append frame 10
01:59.828  render           | Video append frame 11
01:59.844  render           | Video append frame 12
01:59.860  render           | Video append frame 13
01:59.875  render           | Video append frame 14
01:59.907  render           | Video append frame 15
01:59.922  render           | Video append frame 16
01:59.938  render           | Video append frame 17
01:59.953  render           | Video append frame 18
01:59.985  render           | Video append frame 19
02:00.000  render           | Video append frame 20
02:00.016  render           | Video append frame 21
02:00.047  render           | Video append frame 22
02:00.063  render           | Video append frame 23
02:00.078  render           | Video append frame 24
02:00.110  render           | Video append frame 25
02:00.125  render           | Video append frame 26
02:00.141  render           | Video append frame 27
02:00.157  render           | Video append frame 28
02:00.188  render           | Video append frame 29
02:00.203  render           | Video append frame 30
02:00.219  render           | Video append frame 31
02:00.250  render           | Video append frame 32
02:00.266  render           | Video append frame 33
02:00.282  render           | Video append frame 34
02:00.313  render           | Video append frame 35
02:00.328  render           | Video append frame 36
02:00.344  render           | Video append frame 37
02:00.375  render           | Video append frame 38
02:00.391  render           | Video append frame 39
02:00.407  render           | Video append frame 40
02:00.422  render           | Video append frame 41
02:00.453  render           | Video append frame 42
02:00.469  render           | Video append frame 43
02:00.485  render           | Video append frame 44
02:00.516  render           | Video append frame 45
02:00.532  render           | Video append frame 46
02:00.547  render           | Video append frame 47
02:00.563  render           | Video append frame 48
02:00.594  render           | Video append frame 49
02:00.610  render           | Video append frame 50
02:00.625  render           | Video append frame 51
02:00.657  render           | Video append frame 52
02:00.672  render           | Video append frame 53
02:00.688  render           | Video append frame 54
02:00.719  render           | Video append frame 55
02:00.750  render           | Video append frame 56
02:00.766  render           | Video append frame 57
02:00.782  render           | Video append frame 58
02:00.813  render           | Video append frame 59
02:00.828  render           | Video append frame 60
02:00.844  render           | Video append frame 61
02:00.875  render           | Video append frame 1
02:00.907  render           | Video append frame 2
02:00.922  render           | Video append frame 3
02:00.938  render           | Video append frame 4
02:00.969  render           | Video append frame 5
02:00.985  render           | Video append frame 6
02:01.000  render           | Video append frame 7
