seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
751,41,1783150,176050,1407100,200000,0,182,27,24,25,0
752,43,1898900,180150,1508750,210000,0,186,26,23,26,0
753,43,1836000,161650,1464350,210000,0,184,15,23,26,0
754,42,1867150,183100,1479050,205000,0,189,29,24,24,0
755,41,1787800,188550,1399250,200000,0,187,23,24,26,0
756,42,1815550,185600,1424950,205000,0,189,20,24,27,0
757,44,1964200,172200,1577000,215000,0,187,36,24,26,0
758,44,1915850,179200,1521650,215000,0,179,23,24,25,0
759,42,1816950,169100,1442850,205000,0,190,27,24,26,0
760,45,1936250,175750,1540500,220000,1,192,23,24,25,0
761,43,1945400,183650,1551750,210000,0,193,32,24,25,0
762,45,1980700,181250,1579450,220000,1,189,30,23,28,0
763,43,1897200,181150,1506050,210000,0,185,34,23,23,0
764,43,1898600,178150,1510450,210000,0,187,32,23,24,0
765,43,1816150,174650,1431500,210000,0,180,21,23,25,0
766,43,1854600,167150,1477450,210000,0,191,27,23,24,0
767,42,1816900,165600,1446300,205000,0,183,18,24,24,0
768,44,1959750,176200,1568550,215000,0,188,34,24,26,0
769,43,1856350,178150,1468200,210000,0,194,25,24,24,0
770,43,1832300,154650,1467650,210000,0,186,24,24,25,0
771,42,1745450,163600,1376850,205000,0,189,11,24,26,0
772,42,1815150,182100,1428050,205000,0,186,18,24,25,0
773,41,1799250,173550,1425700,200000,0,183,31,24,25,0
774,44,1921150,185200,1520950,215000,0,184,28,24,25,0
775,43,1888750,195150,1483600,210000,0,185,24,24,24,0
776,41,1807500,182550,1424950,200000,0,191,23,24,26,0
777,43,1898850,160150,1528700,210000,0,190,35,23,27,0
778,45,2062400,189750,1652650,220000,1,189,46,24,24,0
779,43,1892100,171650,1510450,210000,0,184,28,24,26,0
780,41,1833500,176050,1457450,200000,0,179,33,24,24,0
781,41,1772350,182550,1389800,200000,0,187,19,24,26,0
782,44,1920750,176200,1529550,215000,0,188,27,24,25,0
783,45,1946800,186750,1540050,220000,1,190,24,24,24,0
784,44,1938850,170700,1553150,215000,0,185,26,23,24,0
785,42,1847800,174600,1468200,205000,0,181,24,23,24,0
786,43,1877550,176150,1491400,210000,0,192,31,24,26,0
787,42,1876950,176600,1495350,205000,0,185,32,24,25,0
788,43,1877450,178650,1488800,210000,0,191,23,24,29,0
789,42,1829600,154100,1470500,205000,0,183,27,24,25,0
790,45,1880050,178750,1481300,220000,1,191,16,24,24,0
791,45,2003900,204750,1579150,220000,1,183,22,24,25,0
792,42,1854750,192600,1457150,205000,0,191,30,24,27,0
793,45,1953800,175250,1558550,220000,1,189,19,24,25,0
794,41,1773700,167050,1406650,200000,0,185,26,24,25,0
795,42,1786450,167600,1413850,205000,0,179,29,24,24,0
796,43,1874550,166150,1498400,210000,0,192,31,24,26,0
797,43,1873800,169650,1494150,210000,0,180,27,24,24,0
798,41,1813600,181550,1432050,200000,0,185,32,23,24,0
799,44,1918400,195200,1508200,215000,0,191,23,23,25,0
800,43,1818650,176150,1432500,210000,0,188,17,24,25,0
801,45,1924100,177250,1526850,220000,1,189,34,23,24,0
802,45,1962450,180250,1562200,220000,1,186,28,24,25,0
803,42,1746400,154100,1387300,205000,0,178,20,24,25,0
804,41,1829800,194050,1435750,200000,0,195,34,24,26,0
805,41,1759850,150050,1409800,200000,0,187,24,24,27,0
806,43,1850650,177650,1463000,210000,0,189,18,24,26,0
807,44,1945700,182700,1548000,215000,0,188,33,24,25,0
