seed,round,index,a,b,kind,winner,ticks,timeout,survivors_a,survivors_b
501,1,0,0,-1,2,0,56,0,4,0
501,1,1,1,-1,2,0,40,0,4,0
501,1,2,2,-1,2,0,53,0,3,0
501,1,3,3,-1,2,0,44,0,3,0
501,1,4,4,-1,2,0,56,0,4,0
501,1,5,5,-1,2,0,44,0,3,0
501,1,6,6,-1,2,0,53,0,3,0
501,1,7,7,-1,2,0,40,0,4,0
501,2,0,0,-1,2,0,122,0,4,0
501,2,1,1,-1,2,0,58,0,4,0
501,2,2,2,-1,2,0,52,0,4,0
501,2,3,3,-1,2,0,46,0,4,0
501,2,4,4,-1,2,0,122,0,4,0
501,2,5,5,-1,2,0,72,0,4,0
501,2,6,6,-1,2,0,97,0,4,0
501,2,7,7,-1,2,0,85,0,4,0
501,3,0,0,-1,2,0,108,0,5,0
501,3,1,1,-1,2,0,53,0,4,0
501,3,2,2,-1,2,0,122,0,5,0
501,3,3,3,-1,2,0,49,0,5,0
501,3,4,4,-1,2,0,60,0,5,0
501,3,5,5,-1,2,0,93,0,5,0
501,3,6,6,-1,2,0,108,0,5,0
501,3,7,7,-1,2,0,125,0,5,0
501,4,0,0,2,0,1,900,1,1,2
501,4,1,1,6,0,0,523,0,4,0
501,4,2,3,5,0,0,649,0,3,0
501,4,3,4,7,0,0,591,0,3,0
501,5,0,0,-1,2,0,169,0,5,0
501,5,1,1,-1,2,0,145,0,5,0
501,5,2,2,-1,2,0,173,0,5,0
501,5,3,3,-1,2,0,145,0,5,0
501,5,4,4,-1,2,0,153,0,5,0
501,5,5,5,-1,2,0,193,0,5,0
501,5,6,6,-1,2,0,164,0,5,0
501,5,7,7,-1,2,0,189,0,5,0
501,6,0,0,5,0,0,900,1,3,1
501,6,1,1,7,0,1,284,0,0,5
501,6,2,2,6,0,1,900,1,2,3
501,6,3,3,4,0,1,481,0,0,3
501,7,0,0,1,0,0,278,0,4,0
501,7,1,2,3,0,1,746,0,0,4
501,7,2,4,5,0,0,625,0,4,0
501,7,3,6,7,0,0,581,0,3,0
501,8,0,0,7,0,0,789,0,3,0
501,8,1,1,3,0,1,419,0,0,3
501,8,2,2,4,0,1,495,0,0,5
501,8,3,5,6,0,0,694,0,4,0
501,9,0,0,6,0,0,821,0,4,0
501,9,1,1,4,0,1,427,0,0,4
501,9,2,2,5,0,0,900,1,2,2
