seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
605,39,1689400,169950,1329450,190000,0,178,32,23,24,0
606,45,1945100,172750,1552350,220000,1,188,28,23,23,0
607,45,1980400,192750,1567650,220000,1,183,27,22,23,0
608,45,1990150,172250,1597900,220000,1,185,33,24,27,0
609,43,1860050,183150,1466900,210000,0,189,19,24,24,0
610,42,1852300,184600,1462700,205000,0,182,31,23,25,0
611,43,1872600,177150,1485450,210000,0,195,26,24,28,0
612,42,1820400,188600,1426800,205000,0,190,23,24,25,0
613,42,1790600,156600,1429000,205000,0,185,19,23,26,0
614,45,1897950,170750,1507200,220000,1,181,26,24,25,0
615,41,1845900,193050,1452850,200000,0,186,30,24,28,0
616,43,1882100,172150,1499950,210000,0,193,19,24,26,0
617,45,1963050,171250,1571800,220000,1,187,22,23,25,0
618,42,1875950,176600,1494350,205000,0,190,28,24,25,0
619,42,1811550,166100,1440450,205000,0,187,29,24,25,0
620,43,1859400,198150,1451250,210000,0,184,21,24,25,0
621,39,1648850,146450,1312400,190000,0,183,17,23,24,0
622,42,1826150,174600,1446550,205000,0,188,23,24,26,0
623,45,1954550,160250,1574300,220000,1,186,31,23,25,0
624,44,1915200,184200,1516000,215000,0,191,24,24,27,0
625,43,1927400,180150,1537250,210000,0,183,38,24,26,0
626,43,1876150,174650,1491500,210000,0,189,16,24,26,0
627,45,1979100,177750,1581350,220000,1,186,31,24,25,0
628,43,1879050,177650,1491400,210000,0,190,27,24,26,0
629,45,1972750,182750,1570000,220000,1,194,26,24,25,0
630,42,1878550,194100,1479450,205000,0,183,35,23,24,0
631,45,2052350,189750,1642600,220000,1,189,38,24,25,0
632,39,1678250,172450,1315800,190000,0,184,29,24,25,0
633,45,1981300,169750,1591550,220000,1,190,35,24,26,0
634,43,1842000,190650,1441350,210000,0,191,21,24,28,0
635,43,1931400,169150,1552250,210000,0,184,33,23,25,0
636,44,1919950,163700,1541250,215000,0,185,20,24,24,0
637,41,1680350,160550,1319800,200000,0,183,14,24,24,0
638,43,1890150,175650,1504500,210000,0,188,20,24,26,0
639,39,1714050,173950,1350100,190000,0,183,32,23,24,0
640,42,1904400,177100,1522300,205000,0,194,38,24,26,0
641,43,1900350,174150,1516200,210000,0,194,31,24,25,0
642,43,1862750,164650,1488100,210000,0,188,23,23,24,0
643,43,1922200,185650,1526550,210000,0,188,31,24,24,0
644,42,1848650,173600,1470050,205000,0,185,29,24,25,0
645,43,1904550,168650,1525900,210000,0,191,37,24,27,0
646,43,1894350,179650,1504700,210000,0,184,30,24,25,0
647,43,1897150,182650,1504500,210000,0,180,18,24,24,0
648,43,1922850,172150,1540700,210000,0,185,30,24,25,0
649,43,1914450,164650,1539800,210000,0,181,41,23,26,0
650,43,1881250,176650,1494600,210000,0,188,29,23,25,0
651,41,1767200,177550,1389650,200000,0,187,27,24,25,0
652,41,1750000,166550,1383450,200000,0,178,18,24,26,0
653,42,1842800,158600,1479200,205000,0,188,33,24,27,0
654,45,1941500,161750,1559750,220000,1,189,23,23,25,0
655,43,1856500,161650,1484850,210000,0,186,22,23,24,0
656,44,1980350,195200,1570150,215000,0,191,34,24,26,0
657,44,1935550,180700,1539850,215000,0,185,24,23,28,0
658,43,1923550,181150,1532400,210000,0,190,37,24,25,0
659,45,1932150,167250,1544900,220000,1,183,24,24,24,0
660,43,1840000,161150,1468850,210000,0,178,18,24,25,0
661,42,1869100,160600,1503500,205000,0,192,39,24,26,0
662,41,1755300,155550,1399750,200000,0,187,19,24,27,0
663,44,1950100,170700,1564400,215000,0,187,23,24,26,0
664,44,1893450,173700,1504750,215000,0,190,21,24,24,0
665,44,1951600,173700,1562900,215000,0,192,28,23,23,0
666,41,1800900,172050,1428850,200000,0,188,31,24,28,0
667,43,1928650,172150,1546500,210000,0,189,31,24,27,0
668,41,1794150,184050,1410100,200000,0,187,26,23,26,0
669,45,2006100,174250,1611850,220000,1,193,34,24,24,0
670,43,1940600,183150,1547450,210000,0,193,39,23,26,0
671,42,1801350,166100,1430250,205000,0,187,28,24,24,0
672,42,1842350,160600,1476750,205000,0,179,20,24,25,0
673,42,1832700,168600,1459100,205000,0,190,25,24,26,0
674,43,1781900,171650,1400250,210000,0,182,14,24,26,0
675,42,1891150,175100,1511050,205000,0,185,39,23,24,0
676,45,1974950,149750,1605200,220000,1,187,35,23,23,0
677,43,1846500,174150,1462350,210000,0,185,20,24,27,0
678,45,1910400,155750,1534650,220000,1,185,22,24,24,0
679,41,1753700,148550,1405150,200000,0,188,21,23,25,0
680,45,1878250,185250,1473000,220000,1,187,18,24,26,0
681,42,1742450,174600,1362850,205000,0,182,11,24,26,0
682,42,1716900,176100,1335800,205000,0,184,11,24,25,0
683,41,1764750,179550,1385200,200000,0,177,24,24,25,0
684,44,1951600,171200,1565400,215000,0,180,30,24,24,0
685,45,1921450,169250,1532200,220000,1,194,25,23,24,0
686,44,1965900,170700,1580200,215000,0,183,39,23,24,0
687,42,1790400,180600,1404800,205000,0,185,24,23,26,0
688,42,1850400,192100,1453300,205000,0,179,25,23,23,0
689,45,1932400,179750,1532650,220000,1,184,21,24,27,0
690,45,1913000,156750,1536250,220000,1,187,23,24,26,0
691,44,1973150,171200,1586950,215000,0,192,44,23,24,0
692,45,1967800,153750,1594050,220000,1,181,27,24,24,0
693,45,2008650,189250,1599400,220000,1,196,37,24,25,0
694,42,1811800,178100,1428700,205000,0,187,19,23,26,0
695,43,1891050,176150,1504900,210000,0,189,32,24,24,0
696,45,1983400,176250,1587150,220000,1,188,28,23,24,0
697,41,1845700,193050,1452650,200000,0,190,35,23,25,0
698,43,1873500,177150,1486350,210000,0,193,28,24,26,0
699,42,1845800,185100,1455700,205000,0,185,22,24,26,0
700,43,1923400,186150,1527250,210000,0,190,36,24,25,0
701,45,1851800,177750,1454050,220000,1,189,16,22,22,0
702,45,1862550,163750,1478800,220000,1,191,23,24,25,0
703,44,1946300,189200,1542100,215000,0,185,33,23,23,0
704,43,1843000,171650,1461350,210000,0,190,22,23,25,0
705,43,1914900,170650,1534250,210000,0,190,35,23,22,0
706,44,1936400,180700,1540700,215000,0,181,26,24,27,0
707,42,1776800,168600,1403200,205000,0,184,20,24,25,0
708,42,1755650,174100,1376550,205000,0,187,20,24,24,0
709,44,1888450,165700,1507750,215000,0,188,24,24,24,0
710,45,1933000,173750,1539250,220000,1,186,27,24,24,0
711,42,1884000,185100,1493900,205000,0,187,38,24,27,0
712,43,1830300,172650,1447650,210000,0,186,21,24,27,0
713,41,1779850,162050,1417800,200000,0,180,15,24,24,0
714,44,1973000,184200,1573800,215000,0,187,33,23,27,0
715,44,1946800,163700,1568100,215000,0,186,29,23,23,0
716,42,1832500,152100,1475400,205000,0,180,30,23,24,0
717,41,1753100,170550,1382550,200000,0,189,19,24,26,0
