fight,side,unit_id,instance,focus,alive,health,max_health,alive_ms,moving_ms,stunned_ms,shield_present_ms,positive_rate_modifier_ms,negative_rate_modifier_ms,basic_actions,active_actions,damage_basic_hp100,damage_skill_hp100,healing_hp100,shield_granted_hp100,shield_absorbed_hp100,overkill_hp100,applied_stun_packet_ms,dash_events,rate_modifier_events,received_healing_hp100,received_damage_hp100
30,1,wc_u_human_guardian,63963137,0,0,0,207900,5950,0,0,900,0,2450,4,1,19938,0,0,36000,36000,0,0,0,0,0,207900
30,1,wc_u_dwarf_guardian,63963138,0,0,0,198000,12000,0,0,0,0,0,7,1,38412,0,0,0,0,0,2000,0,0,0,198000
30,1,wc_u_human_mage,63963139,0,0,0,122760,16000,2000,0,0,0,0,8,2,45018,53069,0,0,0,3162,0,0,0,0,122760
30,1,wc_u_orc_mage,63963140,0,0,0,135000,19350,2000,0,0,0,0,11,2,79689,197025,0,0,0,0,0,0,0,0,135000
30,1,wc_u_elf_mage,63963141,1,0,0,124200,23100,1000,0,0,0,2600,15,2,104167,17173,0,0,0,3614,2500,0,0,0,124200
30,1,wc_u_halfling_mage,63963142,0,0,0,102600,10200,0,0,0,0,0,7,1,39570,0,0,0,0,0,0,0,0,0,102600
31,0,wc_u_human_guardian,65011713,0,0,0,207900,5950,0,0,900,0,2450,4,1,19938,0,0,36000,36000,0,0,0,0,0,207900
31,0,wc_u_dwarf_guardian,65011714,0,0,0,198000,15100,5050,0,0,0,0,5,1,24988,0,0,0,0,0,1000,0,0,0,198000
31,0,wc_u_human_mage,65011715,0,0,0,122760,21400,2000,0,0,0,0,13,2,75394,54361,0,0,0,8620,0,0,0,0,122760
31,0,wc_u_orc_mage,65011716,0,0,0,135000,19000,1000,0,0,0,3000,12,2,87579,120075,0,0,0,0,0,0,0,0,135000
31,0,wc_u_elf_mage,65011717,1,0,0,124200,24550,0,0,0,0,3000,17,2,123184,17173,0,0,0,166,2500,0,0,0,124200
31,0,wc_u_halfling_mage,65011718,0,0,0,102600,9550,0,0,0,0,0,6,1,32820,0,0,0,0,0,0,0,0,0,102600
31,1,wc_u_dragonkin_guardian,66060289,0,0,0,212400,7050,0,2250,1200,0,0,3,1,17094,0,0,43200,43200,0,0,0,0,0,212400
31,1,wc_u_elf_rogue,66060290,0,0,0,142200,14100,800,0,0,0,0,14,2,160812,0,0,0,0,8397,0,2,0,0,142200
31,1,wc_u_elf_ranger,66060291,0,0,0,120600,22150,2700,1250,0,0,0,14,1,133802,0,0,0,0,0,0,1,0,0,120600
31,1,wc_u_dwarf_ranger,66060292,0,1,85418,136800,24550,3300,0,0,0,0,14,3,160234,66574,0,0,0,9480,0,0,0,0,51382
31,1,wc_u_halfling_ranger,66060293,0,1,106200,106200,24550,2400,0,0,0,0,17,3,137292,0,0,0,0,231,0,0,3,0,0
31,1,wc_u_dragonkin_ranger,66060294,0,1,100670,129600,24550,4000,0,0,0,0,15,3,149661,64991,0,0,0,16502,0,0,0,0,28930
