frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16830724.345283601,517306,frame-00000.png
1,0.100000001,16830724.413880002,508073,frame-00001.png
2,0.150000006,16830724.486004598,499925,frame-00002.png
3,0.200000003,16830724.552523401,504823,frame-00003.png
4,0.250000000,16830724.620345600,509012,frame-00004.png
5,0.300000012,16830724.688740101,505242,frame-00005.png
6,0.350000024,16830724.754508398,508583,frame-00006.png
7,0.000000030,16830724.820396200,490907,frame-00007.png
8,0.050000031,16830724.891489498,517436,frame-00008.png
