case,tick,unit,x,y,dest_x,dest_y,state,health,shield,shield_expiry,stun_expiry
heal_effective_cap,3,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,3,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,4,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,4,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,4,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,5,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,5,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,5,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,6,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,6,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,6,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,7,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,7,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,7,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,8,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,8,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,8,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,9,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,9,2,3,2,-1,-1,5,100000,0,0,0
heal_effective_cap,9,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,10,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,10,2,3,2,-1,-1,6,100000,0,0,0
heal_effective_cap,10,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,11,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,11,2,3,2,-1,-1,3,100000,0,0,0
heal_effective_cap,11,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,12,1,3,3,-1,-1,4,10000,0,0,0
heal_effective_cap,12,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,12,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,13,1,3,3,-1,-1,4,10000,0,0,0
heal_effective_cap,13,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,13,1048579,3,4,-1,-1,4,100000,0,0,0
