formation_a,formation_b,star,investment_per_side,seed,swapped,winner,ticks,timeout,survivors_a,survivors_b,events,observed_replay_exact
shield_heavy,sustain,2,30,8,0,0,595,0,3,0,246,1
shield_heavy,sustain,2,30,8,1,1,526,0,0,4,237,1
shield_heavy,sustain,3,90,1,0,0,727,0,3,0,268,1
shield_heavy,sustain,3,90,1,1,1,713,0,0,2,258,1
shield_heavy,sustain,3,90,2,0,0,543,0,3,0,226,1
shield_heavy,sustain,3,90,2,1,1,563,0,0,3,230,1
shield_heavy,sustain,3,90,3,0,0,800,1,2,1,287,1
shield_heavy,sustain,3,90,3,1,1,517,0,0,4,233,1
shield_heavy,sustain,3,90,4,0,0,800,1,1,1,276,1
shield_heavy,sustain,3,90,4,1,1,563,0,0,3,229,1
shield_heavy,sustain,3,90,5,0,0,520,0,5,0,211,1
shield_heavy,sustain,3,90,5,1,1,607,0,0,3,237,1
shield_heavy,sustain,3,90,6,0,0,727,0,2,0,254,1
shield_heavy,sustain,3,90,6,1,1,563,0,0,3,232,1
shield_heavy,sustain,3,90,7,0,0,664,0,2,0,232,1
shield_heavy,sustain,3,90,7,1,1,774,0,0,3,282,1
shield_heavy,sustain,3,90,8,0,0,595,0,3,0,248,1
shield_heavy,sustain,3,90,8,1,1,526,0,0,4,238,1
shield_heavy,spread_ranged,1,10,1,0,1,563,0,0,4,215,1
shield_heavy,spread_ranged,1,10,1,1,0,514,0,5,0,205,1
shield_heavy,spread_ranged,1,10,2,0,1,530,0,0,5,205,1
shield_heavy,spread_ranged,1,10,2,1,0,503,0,6,0,197,1
shield_heavy,spread_ranged,1,10,3,0,1,590,0,0,4,224,1
shield_heavy,spread_ranged,1,10,3,1,0,550,0,5,0,206,1
shield_heavy,spread_ranged,1,10,4,0,1,593,0,0,4,212,1
shield_heavy,spread_ranged,1,10,4,1,0,527,0,4,0,195,1
shield_heavy,spread_ranged,1,10,5,0,1,506,0,0,5,195,1
shield_heavy,spread_ranged,1,10,5,1,0,582,0,4,0,209,1
shield_heavy,spread_ranged,1,10,6,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,1,10,6,1,0,515,0,4,0,199,1
shield_heavy,spread_ranged,1,10,7,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,1,10,7,1,0,577,0,5,0,203,1
shield_heavy,spread_ranged,1,10,8,0,1,530,0,0,4,211,1
shield_heavy,spread_ranged,1,10,8,1,0,506,0,5,0,201,1
shield_heavy,spread_ranged,2,30,1,0,1,563,0,0,4,215,1
shield_heavy,spread_ranged,2,30,1,1,0,514,0,5,0,205,1
shield_heavy,spread_ranged,2,30,2,0,1,530,0,0,5,205,1
shield_heavy,spread_ranged,2,30,2,1,0,503,0,6,0,197,1
shield_heavy,spread_ranged,2,30,3,0,1,590,0,0,4,224,1
shield_heavy,spread_ranged,2,30,3,1,0,550,0,5,0,206,1
shield_heavy,spread_ranged,2,30,4,0,1,593,0,0,4,212,1
shield_heavy,spread_ranged,2,30,4,1,0,527,0,4,0,195,1
shield_heavy,spread_ranged,2,30,5,0,1,506,0,0,5,195,1
shield_heavy,spread_ranged,2,30,5,1,0,582,0,4,0,209,1
shield_heavy,spread_ranged,2,30,6,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,2,30,6,1,0,515,0,4,0,199,1
shield_heavy,spread_ranged,2,30,7,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,2,30,7,1,0,577,0,5,0,203,1
shield_heavy,spread_ranged,2,30,8,0,1,530,0,0,4,211,1
shield_heavy,spread_ranged,2,30,8,1,0,506,0,5,0,201,1
shield_heavy,spread_ranged,3,90,1,0,1,563,0,0,4,215,1
shield_heavy,spread_ranged,3,90,1,1,0,514,0,5,0,205,1
shield_heavy,spread_ranged,3,90,2,0,1,530,0,0,5,205,1
shield_heavy,spread_ranged,3,90,2,1,0,503,0,6,0,197,1
shield_heavy,spread_ranged,3,90,3,0,1,590,0,0,4,224,1
shield_heavy,spread_ranged,3,90,3,1,0,550,0,5,0,206,1
shield_heavy,spread_ranged,3,90,4,0,1,593,0,0,4,212,1
shield_heavy,spread_ranged,3,90,4,1,0,527,0,4,0,195,1
shield_heavy,spread_ranged,3,90,5,0,1,506,0,0,5,195,1
shield_heavy,spread_ranged,3,90,5,1,0,582,0,4,0,209,1
shield_heavy,spread_ranged,3,90,6,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,3,90,6,1,0,515,0,4,0,199,1
shield_heavy,spread_ranged,3,90,7,0,1,577,0,0,4,204,1
shield_heavy,spread_ranged,3,90,7,1,0,577,0,5,0,203,1
shield_heavy,spread_ranged,3,90,8,0,1,530,0,0,4,211,1
