mirror_pairs=32 outcome_changes=0 (measured ordering sensitivity, not fairness certification)
tournament seed=61 rounds=29 encounters=121 events=17676 timeouts=21 simulated_ms=1213950 wall_ms=1683
tournament seed=62 rounds=28 encounters=127 events=20722 timeouts=36 simulated_ms=1221850 wall_ms=1546
tournament seed=63 rounds=28 encounters=125 events=18849 timeouts=28 simulated_ms=1197950 wall_ms=1316
tournament seed=64 rounds=27 encounters=125 events=17761 timeouts=13 simulated_ms=1152150 wall_ms=1309
tournament seed=65 rounds=29 encounters=124 events=18290 timeouts=17 simulated_ms=1177000 wall_ms=1270
tournament seed=66 rounds=27 encounters=116 events=15797 timeouts=13 simulated_ms=1054300 wall_ms=1177
tournament seed=67 rounds=33 encounters=131 events=18419 timeouts=12 simulated_ms=1360500 wall_ms=1381
tournament seed=68 rounds=37 encounters=132 events=19010 timeouts=14 simulated_ms=1525000 wall_ms=1619
tournament seed=69 rounds=37 encounters=131 events=17473 timeouts=9 simulated_ms=1499950 wall_ms=1531
tournament seed=70 rounds=36 encounters=129 events=17802 timeouts=9 simulated_ms=1448350 wall_ms=1505
tournament seed=71 rounds=28 encounters=117 events=16196 timeouts=16 simulated_ms=1114700 wall_ms=1231
tournament seed=72 rounds=29 encounters=124 events=18864 timeouts=25 simulated_ms=1202500 wall_ms=1319
tournament seed=73 rounds=32 encounters=126 events=17850 timeouts=16 simulated_ms=1325950 wall_ms=1520
tournament seed=74 rounds=33 encounters=126 events=15895 timeouts=2 simulated_ms=1220100 wall_ms=1407
tournament seed=75 rounds=31 encounters=124 events=18772 timeouts=25 simulated_ms=1298000 wall_ms=1470
tournament seed=76 rounds=34 encounters=132 events=17567 timeouts=11 simulated_ms=1364750 wall_ms=1530
tournament seed=77 rounds=32 encounters=126 events=18436 timeouts=20 simulated_ms=1364050 wall_ms=1531
tournament seed=78 rounds=30 encounters=121 events=19411 timeouts=24 simulated_ms=1285800 wall_ms=1600
tournament seed=79 rounds=33 encounters=126 events=18909 timeouts=20 simulated_ms=1367500 wall_ms=1676
tournament seed=80 rounds=29 encounters=119 events=15589 timeouts=7 simulated_ms=1109000 wall_ms=1489
tournament seed=81 rounds=32 encounters=132 events=20327 timeouts=33 simulated_ms=1353050 wall_ms=1739
tournament seed=82 rounds=31 encounters=130 events=20332 timeouts=26 simulated_ms=1308550 wall_ms=1668
tournament seed=83 rounds=29 encounters=119 events=15062 timeouts=7 simulated_ms=1134150 wall_ms=1562
tournament seed=84 rounds=33 encounters=126 events=17333 timeouts=17 simulated_ms=1335650 wall_ms=1534
tournament seed=85 rounds=32 encounters=138 events=20263 timeouts=24 simulated_ms=1302250 wall_ms=1450
tournament seed=86 rounds=31 encounters=133 events=21529 timeouts=35 simulated_ms=1314650 wall_ms=1396
