seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
105,44,1943150,173200,1554950,215000,0,183,28,24,24,0
106,41,1787750,169050,1418700,200000,0,187,34,23,24,0
107,43,1885000,198650,1476350,210000,0,186,26,23,24,0
108,43,1933750,188650,1535100,210000,0,192,24,24,25,0
109,42,1847350,181600,1460750,205000,0,185,27,23,25,0
110,45,1934150,163250,1550900,220000,1,188,27,24,24,0
111,45,1973550,169250,1584300,220000,1,190,29,23,23,0
112,44,1939300,160200,1564100,215000,0,190,26,23,25,0
113,44,1879250,154700,1509550,215000,0,182,23,23,24,0
114,41,1809100,182550,1426550,200000,0,185,25,24,25,0
115,41,1795150,176050,1419100,200000,0,186,24,24,25,0
116,45,2000800,167750,1613050,220000,1,187,35,22,23,0
117,41,1757650,168550,1389100,200000,0,179,18,24,24,0
118,42,1823650,171100,1447550,205000,0,185,24,24,25,0
119,44,1894150,186700,1492450,215000,0,186,16,24,24,0
120,41,1773300,172050,1401250,200000,0,183,21,24,24,0
121,42,1774300,160600,1408700,205000,0,186,13,24,26,0
122,42,1938250,182100,1551150,205000,0,190,32,24,27,0
123,41,1761700,173550,1388150,200000,0,183,19,23,25,0
124,44,1886950,169700,1502250,215000,0,188,21,24,24,0
125,43,1834150,181650,1442500,210000,0,179,20,23,23,0
126,45,1982700,177750,1584950,220000,1,190,30,23,23,0
127,39,1745350,163950,1391400,190000,0,181,25,24,25,0
128,45,1959950,179250,1560700,220000,1,184,26,24,28,0
129,42,1871850,190100,1476750,205000,0,187,23,24,24,0
130,42,1905700,184100,1516600,205000,0,186,42,24,28,0
131,42,1826350,175600,1445750,205000,0,182,22,24,25,0
132,45,1984300,185250,1579050,220000,1,187,27,23,23,0
133,43,1891300,184650,1496650,210000,0,191,22,23,27,0
134,45,1940650,155750,1564900,220000,1,187,37,24,25,0
135,45,1840450,179750,1440700,220000,1,190,22,24,25,0
136,39,1720650,167450,1363200,190000,0,187,28,24,26,0
137,43,1849100,180150,1458950,210000,0,189,20,24,27,0
138,44,1993800,177700,1601100,215000,0,190,40,24,26,0
139,43,1833300,167150,1456150,210000,0,194,24,24,25,0
140,44,1846350,158700,1472650,215000,0,182,17,23,26,0
141,45,1899800,178250,1501550,220000,1,182,23,23,24,0
142,45,2001650,181750,1599900,220000,1,185,33,24,25,0
143,43,1903350,192150,1501200,210000,0,188,29,23,23,0
144,43,1916550,182150,1524400,210000,0,195,34,23,23,0
145,43,1911850,196150,1505700,210000,0,189,25,24,25,0
146,42,1853300,177100,1471200,205000,0,186,28,23,25,0
147,44,1949000,191700,1542300,215000,0,182,24,24,26,0
148,44,1957450,169700,1572750,215000,0,186,30,23,24,0
149,44,1900850,161700,1524150,215000,0,186,31,24,25,0
150,41,1746150,182050,1364100,200000,0,176,18,24,29,0
151,43,1809950,164650,1435300,210000,0,187,17,24,27,0
152,42,1882650,165100,1512550,205000,0,184,40,24,25,0
153,41,1800000,180050,1419950,200000,0,187,27,23,24,0
154,41,1746200,166550,1379650,200000,0,181,30,23,24,0
155,43,1907100,179150,1517950,210000,0,181,29,23,25,0
156,45,1991800,196250,1575550,220000,1,197,26,24,25,0
157,42,1848950,192100,1451850,205000,0,188,25,24,24,0
158,44,1920850,182200,1523650,215000,0,192,20,23,24,0
159,45,1941500,165250,1556250,220000,1,186,28,24,26,0
160,41,1806700,159050,1447650,200000,0,183,29,24,25,0
161,44,1898250,156700,1526550,215000,0,187,22,24,25,0
162,42,1855650,169100,1481550,205000,0,181,31,23,26,0
163,44,1907050,187200,1504850,215000,0,185,23,23,24,0
164,42,1818200,171100,1442100,205000,0,190,26,24,25,0
165,43,1890100,178150,1501950,210000,0,186,27,24,25,0
166,42,1870650,181600,1484050,205000,0,182,37,23,24,0
167,43,1948650,184150,1554500,210000,0,190,37,24,26,0
168,45,1956050,181750,1554300,220000,1,195,15,24,25,0
169,43,1866950,167150,1489800,210000,0,192,30,24,26,0
170,44,1927000,175700,1536300,215000,0,190,27,23,24,0
171,45,2037950,189750,1628200,220000,1,203,46,24,25,0
172,41,1708800,179550,1329250,200000,0,189,12,24,27,0
173,43,1886400,168650,1507750,210000,0,184,30,24,25,0
174,43,1952200,189650,1552550,210000,0,192,34,23,25,0
175,44,1930650,179200,1536450,215000,0,187,21,24,24,0
176,45,1923100,169250,1533850,220000,1,189,26,23,23,0
177,45,1946450,170250,1556200,220000,1,191,28,24,27,0
178,42,1745900,170100,1370800,205000,0,185,16,24,28,0
179,45,1893700,173750,1499950,220000,1,190,18,24,26,0
180,43,1944350,174650,1559700,210000,0,183,38,24,27,0
181,43,1872100,164650,1497450,210000,0,194,32,24,26,0
182,45,1986250,161750,1604500,220000,1,197,30,24,24,0
183,45,2041150,193750,1627400,220000,1,181,36,24,24,0
184,45,1983850,187750,1576100,220000,1,193,32,24,24,0
185,44,1937800,195700,1527100,215000,0,188,23,24,27,0
186,42,1781300,180100,1396200,205000,0,181,15,24,28,0
187,44,1968300,191200,1562100,215000,0,195,26,23,24,0
188,44,1762800,173200,1374600,215000,0,189,11,23,25,0
189,44,1947750,173700,1559050,215000,0,193,29,23,25,0
190,41,1806900,161550,1445350,200000,0,185,27,24,25,0
191,45,1901600,165750,1515850,220000,1,189,22,23,25,0
192,44,1892350,177200,1500150,215000,0,193,27,24,24,0
193,43,1853850,180650,1463200,210000,0,183,17,24,24,0
194,45,1922900,161750,1541150,220000,1,187,24,24,25,0
195,42,1786450,162600,1418850,205000,0,185,18,23,27,0
196,43,1810450,184150,1416300,210000,0,190,15,24,26,0
197,45,1913900,156250,1537650,220000,1,190,23,23,26,0
198,43,1884000,177150,1496850,210000,0,191,26,24,26,0
199,45,1937450,182750,1534700,220000,1,192,20,23,24,0
200,44,1955550,175200,1565350,215000,0,191,30,24,26,0
201,41,1746950,165050,1381900,200000,0,185,23,24,25,0
202,44,1863850,183200,1465650,215000,0,188,18,24,28,0
203,45,1963350,163750,1579600,220000,1,193,36,24,24,0
204,42,1821600,176100,1440500,205000,0,184,22,24,28,0
205,43,1852200,175650,1466550,210000,0,185,21,23,23,0
206,41,1822100,173050,1449050,200000,0,183,32,24,26,0
207,42,1774450,164600,1404850,205000,0,181,16,24,24,0
208,42,1852350,158600,1488750,205000,0,188,34,24,28,0
209,45,1883250,173750,1489500,220000,1,191,16,24,25,0
210,44,1966500,197700,1553800,215000,0,192,28,24,26,0
211,45,1890250,168750,1501500,220000,1,182,17,24,26,0
212,45,1999600,166250,1613350,220000,1,184,30,23,23,0
213,42,1871850,171600,1495250,205000,0,187,30,24,24,0
214,43,1811250,159150,1442100,210000,0,191,25,24,25,0
215,45,1999500,196750,1582750,220000,1,193,22,23,23,0
216,43,1929450,186650,1532800,210000,0,187,32,24,27,0
217,45,1969900,166750,1583150,220000,1,199,30,24,26,0
218,42,1817500,167100,1445400,205000,0,190,26,24,25,0
219,42,1859800,186100,1468700,205000,0,190,24,24,27,0
220,42,1817700,180600,1432100,205000,0,187,28,24,27,0
221,45,1991200,151750,1619450,220000,1,190,36,23,26,0
222,43,1935400,178150,1547250,210000,0,184,37,23,24,0
223,45,1974250,193250,1561000,220000,1,192,35,24,27,0
224,44,1958800,178700,1565100,215000,0,192,34,24,27,0
225,43,1874750,172150,1492600,210000,0,189,24,23,24,0
226,41,1797100,156550,1440550,200000,0,188,37,24,26,0
227,44,1983400,187200,1581200,215000,0,180,34,23,24,0
228,43,1944600,168650,1565950,210000,0,190,40,24,24,0
229,45,1951750,164750,1567000,220000,1,191,30,24,24,0
230,42,1832350,185600,1441750,205000,0,185,26,23,24,0
231,41,1766150,189050,1377100,200000,0,184,21,24,24,0
232,44,1879700,177200,1487500,215000,0,189,20,24,27,0
233,43,1875850,174150,1491700,210000,0,192,22,24,28,0
234,42,1854900,194100,1455800,205000,0,186,29,23,23,0
235,42,1800450,155100,1440350,205000,0,184,32,24,26,0
236,44,1907250,173700,1518550,215000,0,192,27,24,24,0
237,43,1855700,188650,1457050,210000,0,188,15,23,24,0
238,44,1954200,182700,1556500,215000,0,188,29,24,25,0
239,42,1835100,177100,1453000,205000,0,186,27,24,26,0
240,43,1889700,173650,1506050,210000,0,194,31,24,25,0
241,44,1907600,177700,1514900,215000,0,186,24,24,26,0
242,41,1768850,165550,1403300,200000,0,185,23,24,27,0
243,45,1947300,167250,1560050,220000,1,187,21,24,25,0
244,44,1908150,169700,1523450,215000,0,183,29,22,23,0
245,44,1895050,162700,1517350,215000,0,184,28,23,24,0
246,45,1933650,174250,1539400,220000,1,179,22,23,24,0
247,43,1953050,174650,1568400,210000,0,190,30,24,25,0
248,43,1835200,177150,1448050,210000,0,189,23,23,25,0
249,43,1904900,179650,1515250,210000,0,186,30,23,23,0
250,43,1884150,180150,1494000,210000,0,188,31,23,24,0
251,43,1900350,170650,1519700,210000,0,189,31,24,25,0
252,41,1792700,180550,1412150,200000,0,183,24,24,25,0
253,42,1812500,180100,1427400,205000,0,183,19,24,27,0
254,43,1908550,168150,1530400,210000,0,189,39,23,26,0
255,44,1919650,179700,1524950,215000,0,184,26,23,25,0
256,45,1999450,171750,1607700,220000,1,195,45,24,25,0
257,43,1851050,183650,1457400,210000,0,183,27,23,23,0
258,45,1983350,192250,1571100,220000,1,186,26,24,25,0
259,42,1840300,180600,1454700,205000,0,191,28,24,25,0
260,42,1808200,180600,1422600,205000,0,190,20,24,25,0
261,43,1798700,164150,1424550,210000,0,189,21,24,25,0
262,44,1915100,173700,1526400,215000,0,186,28,24,24,0
263,45,2027100,175750,1631350,220000,1,191,37,24,26,0
264,41,1720400,170050,1350350,200000,0,178,16,24,26,0
265,44,1898800,168200,1515600,215000,0,188,23,24,24,0
266,45,2048500,168750,1659750,220000,1,192,47,24,25,0
267,42,1891600,185100,1501500,205000,0,192,32,24,26,0
268,43,1873100,177650,1485450,210000,0,190,30,24,25,0
269,44,1873000,159200,1498800,215000,0,178,20,23,24,0
270,42,1751200,171100,1375100,205000,0,184,15,24,24,0
271,43,1852750,165150,1477600,210000,0,187,29,23,24,0
272,42,1861550,171100,1485450,205000,0,191,32,24,25,0
273,44,1991150,174700,1601450,215000,0,187,39,23,26,0
274,44,1934500,180200,1539300,215000,0,191,21,23,25,0
275,43,1919800,173150,1536650,210000,0,185,32,24,25,0
276,43,1880100,169150,1500950,210000,0,190,19,24,25,0
277,45,1940100,174250,1545850,220000,1,186,19,24,24,0
278,45,1994600,179250,1595350,220000,1,192,36,24,24,0
279,44,1929450,165200,1549250,215000,0,188,26,24,26,0
280,45,1898300,172750,1505550,220000,1,186,16,23,23,0
281,42,1875250,180600,1489650,205000,0,184,26,24,25,0
282,42,1814300,182100,1427200,205000,0,182,19,23,23,0
283,45,1969400,179250,1570150,220000,1,188,31,23,24,0
284,42,1835300,183100,1447200,205000,0,189,18,23,25,0
285,42,1859150,196100,1458050,205000,0,189,21,24,26,0
286,45,1926200,186250,1519950,220000,1,186,26,24,26,0
287,41,1751650,180550,1371100,200000,0,184,18,23,26,0
288,44,2056850,201700,1640150,215000,0,197,43,24,24,0
289,45,1956500,177750,1558750,220000,1,191,25,23,24,0
290,44,1873900,158700,1500200,215000,0,179,19,24,27,0
291,43,1858900,174150,1474750,210000,0,182,21,24,25,0
292,42,1830150,171600,1453550,205000,0,180,23,23,24,0
293,45,1997000,197250,1579750,220000,1,195,29,24,24,0
294,44,1964650,181200,1568450,215000,0,190,34,23,26,0
295,44,1898250,174200,1509050,215000,0,198,18,24,24,0
296,44,1888150,165700,1507450,215000,0,187,21,23,25,0
297,44,1914250,163200,1536050,215000,0,185,26,24,27,0
298,43,1936850,161150,1565700,210000,0,184,34,24,26,0
299,42,1827300,156100,1466200,205000,0,190,25,24,25,0
300,41,1774700,180050,1394650,200000,0,186,18,24,27,0
301,41,1766750,171050,1395700,200000,0,186,19,24,24,0
302,44,1839800,178200,1446600,215000,0,196,16,24,24,0
303,42,1817550,176100,1436450,205000,0,191,23,24,25,0
304,41,1780450,176050,1404400,200000,0,187,28,24,25,0
305,44,1939750,164200,1560550,215000,0,182,25,24,25,0
306,45,1937450,185750,1531700,220000,1,190,16,24,26,0
307,42,1755500,191100,1359400,205000,0,185,15,24,25,0
308,43,1871450,167650,1493800,210000,0,192,28,24,27,0
309,39,1734200,169450,1374750,190000,0,184,27,24,27,0
310,42,1836400,183600,1447800,205000,0,192,28,23,25,0
311,41,1750550,175550,1375000,200000,0,184,19,23,25,0
312,42,1813000,178600,1429400,205000,0,190,24,23,25,0
313,42,1776800,162100,1409700,205000,0,180,16,24,27,0
314,41,1828050,183550,1444500,200000,0,189,50,24,26,0
315,45,1969200,203250,1545950,220000,1,193,21,24,24,0
316,44,2000700,193700,1592000,215000,0,189,37,24,26,0
317,44,1935050,176200,1543850,215000,0,185,27,24,25,0
318,44,1937050,178200,1543850,215000,0,190,24,24,28,0
319,43,1877550,150650,1516900,210000,0,185,28,24,26,0
320,43,1863950,168150,1485800,210000,0,183,24,23,25,0
321,42,1927650,204600,1518050,205000,0,189,32,23,24,0
322,43,1829900,168650,1451250,210000,0,187,19,23,24,0
323,41,1796750,171050,1425700,200000,0,184,26,24,26,0
324,43,1882000,179650,1492350,210000,0,192,23,24,25,0
325,43,1957500,172150,1575350,210000,0,184,42,24,24,0
326,45,1884300,153250,1511050,220000,1,184,17,23,24,0
327,41,1775950,145550,1430400,200000,0,178,23,24,25,0
328,43,1873200,182650,1480550,210000,0,195,37,24,26,0
329,42,1809800,168100,1436700,205000,0,189,23,24,24,0
330,42,1861450,189100,1467350,205000,0,189,21,24,26,0
331,44,1862250,171200,1476050,215000,0,184,19,24,25,0
332,45,1945400,186250,1539150,220000,1,196,19,23,23,0
333,43,1917050,172650,1534400,210000,0,192,41,24,23,0
334,44,1940450,174200,1551250,215000,0,187,21,24,26,0
335,43,1919650,189150,1520500,210000,0,183,36,24,26,0
336,45,1903200,179250,1503950,220000,1,186,19,24,25,0
337,42,1766850,166100,1395750,205000,0,186,18,24,26,0
338,44,1905100,182200,1507900,215000,0,188,25,24,27,0
339,44,1878250,157200,1506050,215000,0,189,21,24,26,0
340,43,1919800,180150,1529650,210000,0,194,36,24,25,0
341,44,1968650,194700,1558950,215000,0,194,32,24,26,0
342,45,1978550,174250,1584300,220000,1,188,35,23,23,0
343,45,1988600,173250,1595350,220000,1,190,34,24,24,0
344,43,1936450,183650,1542800,210000,0,194,32,24,26,0
345,41,1756750,164550,1392200,200000,0,190,21,24,26,0
346,42,1840300,173100,1462200,205000,0,179,27,23,24,0
347,44,1916300,171200,1530100,215000,0,192,31,23,23,0
348,41,1834500,175050,1459450,200000,0,182,33,24,26,0
349,43,1856400,165150,1481250,210000,0,188,21,23,24,0
350,42,1767200,170600,1391600,205000,0,191,12,24,25,0
351,45,1876200,158250,1497950,220000,1,185,13,24,26,0
352,43,1918700,203650,1505050,210000,0,182,27,24,28,0
353,45,1918400,164250,1534150,220000,1,189,27,23,23,0
354,43,1876050,176650,1489400,210000,0,187,30,24,25,0
355,42,1872300,173600,1493700,205000,0,185,31,24,25,0
356,45,1927150,164250,1542900,220000,1,191,27,23,23,0
357,43,1869200,181150,1478050,210000,0,186,21,24,24,0
358,42,1845000,152600,1487400,205000,0,184,24,24,25,0
359,43,1916800,164650,1542150,210000,0,185,35,24,24,0
360,43,1913650,176650,1527000,210000,0,190,32,24,26,0
361,41,1724750,166550,1358200,200000,0,185,17,24,25,0
362,41,1813250,181050,1432200,200000,0,188,26,24,26,0
363,44,1914650,169700,1529950,215000,0,185,26,24,26,0
364,42,1821100,167600,1448500,205000,0,182,17,24,26,0
365,44,1918750,160200,1543550,215000,0,186,17,24,27,0
366,44,1880200,157200,1508000,215000,0,191,21,24,26,0
367,43,1912650,176150,1526500,210000,0,194,39,24,26,0
368,43,1772650,202650,1360000,210000,0,191,18,24,25,0
369,42,1851050,168100,1477950,205000,0,188,39,24,28,0
