wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
5.981919,1,2,5,40,8,16.667002,7.516500,4.607700,21.598200,1,36565,36565,1,8,closed
5.998732,1,2,5,40,8,16.666901,2.258800,5.283600,11.306000,1,36565,36565,1,8,closed
6.015238,1,2,5,40,8,16.666901,2.877100,5.649000,17.273800,1,36565,36565,1,8,closed
6.032328,1,2,5,40,8,16.666897,2.533600,4.847500,16.203800,1,36565,36565,1,8,closed
6.048618,1,2,5,40,8,16.667002,2.943900,8.072000,17.214500,1,36565,36565,1,8,closed
6.068940,1,2,5,40,8,16.666800,2.698400,4.787200,16.227301,1,41934,41934,1,8,closed
6.081980,1,2,5,40,8,16.666901,8.051700,4.138200,22.256599,1,41934,41934,1,8,closed
6.098754,1,2,5,40,8,16.692999,2.739100,4.529300,11.400200,1,41934,41934,1,8,closed
6.115437,1,2,5,40,8,16.666901,9.023500,5.732400,22.860800,1,41934,41934,1,8,closed
6.132164,1,2,5,40,8,16.743202,3.329300,5.362100,10.430500,1,41934,41934,1,8,closed
6.149401,1,2,5,40,8,17.093100,3.150600,6.033400,17.775600,1,41934,41934,1,8,closed
6.168826,1,2,5,40,8,16.666998,2.994300,6.817900,16.176201,1,40026,40026,1,8,closed
6.182922,1,2,5,40,8,16.667002,6.255600,4.859200,20.188101,1,40026,40026,1,8,closed
6.199077,1,2,5,40,8,16.666901,2.940400,4.976400,13.347900,1,40026,40026,1,8,closed
6.215887,1,2,5,40,8,16.706400,3.990200,4.855100,16.473101,1,40026,40026,1,8,closed
6.232567,1,2,5,40,8,16.666800,2.471700,3.470600,16.205799,1,40026,40026,1,8,closed
6.249242,1,2,5,40,8,16.667002,2.292100,3.509100,16.835600,1,40026,40026,1,8,closed
6.266146,1,2,5,40,8,16.666698,2.358100,4.072100,17.036200,1,40026,40026,1,8,closed
6.282581,1,2,5,40,8,16.667002,2.727300,4.396200,16.531500,1,40026,40026,1,8,closed
6.301682,1,2,5,40,8,16.667002,2.643500,5.198100,17.483801,1,40696,40696,1,8,closed
6.315873,1,2,5,40,8,16.667097,5.198400,4.092600,18.439100,1,40696,40696,1,8,closed
6.332635,1,2,5,40,8,16.666800,2.110500,4.511600,13.695000,1,40696,40696,1,8,closed
6.349168,1,2,5,40,8,16.666901,2.397800,4.143400,16.811001,1,40696,40696,1,8,closed
6.365826,1,2,5,40,8,16.666901,2.391900,4.760600,17.349701,1,40696,40696,1,8,closed
6.382705,1,2,5,40,8,16.666698,2.547500,4.411100,15.856600,1,40696,40696,1,8,closed
6.399157,1,2,5,40,8,16.666702,2.510200,4.103900,16.824301,1,40696,40696,1,8,closed
6.415917,1,2,5,40,8,16.666800,2.496700,4.407000,17.098801,1,40696,40696,1,8,closed
6.435726,1,2,5,40,8,16.666800,2.357300,4.467600,16.335800,1,42122,42122,1,8,closed
6.449198,1,2,5,40,8,16.666800,6.204700,3.087700,20.133900,1,42122,42122,1,8,closed
6.465869,1,2,5,40,8,16.666800,2.716700,5.242900,13.519900,1,42122,42122,1,8,closed
6.482467,1,2,5,40,8,16.666800,2.903000,3.988400,16.926701,1,42122,42122,1,8,closed
6.499283,1,2,5,40,8,16.667002,2.366100,4.942900,15.778800,1,42122,42122,1,8,closed
6.515926,1,2,5,40,8,16.666698,2.521700,4.086300,16.814100,1,42122,42122,1,8,closed
6.532658,1,2,5,40,8,16.667002,2.595800,3.476400,16.513000,1,42122,42122,1,8,closed
6.552157,1,2,5,35,3,16.666698,2.281300,4.743100,17.693701,1,42516,42516,1,3,closed
6.565803,1,2,4,35,3,16.666901,5.724700,5.069100,18.925600,1,42516,42516,1,3,closed
6.582505,1,2,4,35,3,16.666800,2.036700,3.868200,13.569000,1,42516,42516,1,3,closed
6.599195,1,2,4,35,3,16.666698,2.107300,3.576700,16.655300,1,42516,42516,1,3,closed
6.615908,1,2,4,35,3,16.666901,5.764400,3.918300,19.817499,1,42516,42516,1,3,closed
6.632513,1,2,4,35,3,16.666800,2.303500,3.789700,13.577200,1,42516,42516,1,3,closed
6.651501,1,2,4,33,1,16.667002,2.299200,4.422300,16.363600,1,42066,42066,1,1,closed
6.665830,1,2,4,33,1,16.666998,4.524500,4.147400,19.235800,1,42066,42066,1,1,closed
6.682465,1,2,4,33,1,16.666901,2.356200,2.966800,14.176200,1,42066,42066,1,1,closed
6.699170,1,2,4,33,1,16.667002,2.082200,4.298600,16.725000,1,42066,42066,1,1,closed
6.715856,1,2,4,33,1,16.666800,2.393100,4.311000,16.811001,1,42066,42066,1,1,closed
6.732557,1,2,4,33,1,16.667002,2.122900,3.644600,17.071199,1,42066,42066,1,1,closed
6.749130,1,2,4,33,1,16.666901,2.280400,4.123700,16.413601,1,42066,42066,1,1,closed
6.765794,1,2,4,33,1,16.666698,2.565900,3.704900,17.014799,1,42066,42066,1,1,closed
6.782526,1,2,4,33,1,16.667002,2.248700,3.845400,15.751200,1,42066,42066,1,1,closed
6.799578,1,2,4,33,1,16.750601,2.199200,4.659700,16.800800,1,42066,42066,1,1,closed
6.815901,1,2,4,33,1,16.666901,2.769400,4.044400,17.915899,1,42066,42066,1,1,closed
6.832503,1,2,4,33,1,16.666901,2.236500,3.343600,15.532000,1,42066,42066,1,1,closed
6.849294,1,2,4,33,1,16.666800,2.089000,3.510600,16.422899,1,42066,42066,1,1,closed
6.865869,1,2,4,33,1,16.666998,2.031200,2.921500,16.820200,1,42066,42066,1,1,closed
6.884550,2,2,4,32,0,16.666800,1.907700,2.960400,16.803900,1,41092,41092,1,0,closed
6.900646,2,2,4,32,0,18.119101,17.037500,2.960400,16.803900,1,41092,41092,1,0,closed
6.917307,2,2,4,32,0,16.666800,2.858900,4.911900,7.169000,1,41092,41092,1,0,closed
6.933996,2,2,4,32,0,16.666702,2.886600,4.005500,12.235800,1,41092,41092,1,0,closed
6.950658,2,2,4,32,0,16.666897,2.975500,3.133800,16.646099,1,41092,41092,1,0,closed
6.967325,2,2,4,32,0,16.666702,2.284300,3.484600,16.681999,1,41092,41092,1,0,closed
6.983957,2,2,4,32,0,16.666698,2.231700,4.059900,16.694300,1,41092,41092,1,0,closed
7.001062,2,2,4,32,0,16.739998,2.617500,4.257900,16.826300,1,41092,41092,1,0,closed
7.018263,2,2,4,32,0,17.476000,3.173200,4.536400,17.190901,1,41092,41092,1,0,closed
7.035209,2,2,4,32,0,16.686800,2.939800,5.840000,17.208401,1,41092,41092,1,0,closed
7.051670,2,2,4,32,0,16.666698,3.311900,8.064500,17.203199,1,41092,41092,1,0,closed
7.068261,2,2,4,32,0,16.666702,2.973600,4.763700,16.018400,1,41092,41092,1,0,closed
7.085274,2,2,4,32,0,16.666901,3.674400,3.717300,16.442400,1,41092,41092,1,0,closed
7.101618,2,2,4,32,0,16.666897,3.322100,4.887700,17.589199,1,41092,41092,1,0,closed
7.118219,2,2,4,32,0,16.666901,7.401200,4.551400,20.848700,1,41092,41092,1,0,closed
7.134917,2,2,4,32,0,16.666901,2.890400,4.093600,11.372500,1,41092,41092,1,0,closed
7.153356,2,2,4,32,0,16.666901,2.499300,3.285900,16.826401,1,41092,41092,1,0,closed
7.168279,2,2,4,32,0,16.666901,4.306000,4.354300,18.541500,1,41092,41092,1,0,closed
7.184914,2,2,4,32,0,16.666800,2.657700,4.390800,15.106100,1,41092,41092,1,0,closed
7.238316,2,2,4,32,0,53.258400,2.462800,0.233800,15.106100,1,41092,41092,1,0,closed
7.254904,2,2,4,32,0,16.666901,43.015301,5.154700,53.510201,1,41092,41092,1,0,closed
7.271568,2,2,4,32,0,16.666901,4.557300,4.124700,16.680901,1,41092,41092,1,0,closed
