formation_a,formation_b,star,seed,original_winner_relative_to_a,swapped_winner_relative_to_a,outcome_changed,original_ticks,swapped_ticks
sustain,spread_ranged,1,5,1,1,False,481,575
sustain,spread_ranged,1,6,1,1,False,514,513
sustain,spread_ranged,1,7,1,1,False,514,559
sustain,spread_ranged,1,8,1,1,False,481,513
sustain,spread_ranged,2,1,1,1,False,527,437
sustain,spread_ranged,2,2,1,1,False,500,536
sustain,spread_ranged,2,3,1,1,False,502,507
sustain,spread_ranged,2,4,1,1,False,472,509
sustain,spread_ranged,2,5,1,1,False,481,572
sustain,spread_ranged,2,6,1,1,False,514,513
sustain,spread_ranged,2,7,1,1,False,514,559
sustain,spread_ranged,2,8,1,1,False,481,513
sustain,spread_ranged,3,1,1,1,False,526,432
sustain,spread_ranged,3,2,1,1,False,527,536
sustain,spread_ranged,3,3,1,1,False,502,536
sustain,spread_ranged,3,4,1,1,False,472,509
sustain,spread_ranged,3,5,1,1,False,481,559
sustain,spread_ranged,3,6,1,1,False,507,513
sustain,spread_ranged,3,7,1,1,False,507,550
sustain,spread_ranged,3,8,1,1,False,452,513
sustain,paired_mage,1,1,1,1,False,530,527
sustain,paired_mage,1,2,1,1,False,621,501
sustain,paired_mage,1,3,1,1,False,443,734
sustain,paired_mage,1,4,1,0,True,514,800
sustain,paired_mage,1,5,1,1,False,433,621
sustain,paired_mage,1,6,1,1,False,515,505
sustain,paired_mage,1,7,1,1,False,480,507
sustain,paired_mage,1,8,1,1,False,568,464
sustain,paired_mage,2,1,1,1,False,530,541
sustain,paired_mage,2,2,1,1,False,617,501
sustain,paired_mage,2,3,1,1,False,437,745
sustain,paired_mage,2,4,1,0,True,514,800
sustain,paired_mage,2,5,1,1,False,433,757
sustain,paired_mage,2,6,1,1,False,514,527
sustain,paired_mage,2,7,1,1,False,480,510
sustain,paired_mage,2,8,1,1,False,568,464
sustain,paired_mage,3,1,1,1,False,541,540
sustain,paired_mage,3,2,1,1,False,617,480
sustain,paired_mage,3,3,1,1,False,443,800
sustain,paired_mage,3,4,1,0,True,514,800
sustain,paired_mage,3,5,1,1,False,442,699
sustain,paired_mage,3,6,1,1,False,508,481
sustain,paired_mage,3,7,1,1,False,480,507
sustain,paired_mage,3,8,1,1,False,671,464
sustain,rogue_pressure,1,1,1,0,True,504,610
sustain,rogue_pressure,1,2,0,0,False,685,788
sustain,rogue_pressure,1,3,1,0,True,636,676
sustain,rogue_pressure,1,4,0,0,False,782,575
sustain,rogue_pressure,1,5,0,0,False,571,769
sustain,rogue_pressure,1,6,0,0,False,670,615
sustain,rogue_pressure,1,7,0,0,False,800,647
sustain,rogue_pressure,1,8,0,1,True,613,647
sustain,rogue_pressure,2,1,1,0,True,507,598
sustain,rogue_pressure,2,2,0,0,False,680,755
sustain,rogue_pressure,2,3,1,0,True,644,728
sustain,rogue_pressure,2,4,0,0,False,750,547
sustain,rogue_pressure,2,5,0,0,False,581,761
sustain,rogue_pressure,2,6,0,0,False,683,611
sustain,rogue_pressure,2,7,0,0,False,800,644
sustain,rogue_pressure,2,8,0,1,True,608,691
sustain,rogue_pressure,3,1,1,0,True,635,579
sustain,rogue_pressure,3,2,0,0,False,678,703
sustain,rogue_pressure,3,3,1,0,True,800,684
