C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_pippa.py:59: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat=bpy.data.materials.new('M_'+UID);mat.use_nodes=True
00:58.422  render           | Video append frame 72
00:58.453  render           | Video append frame 73
00:58.468  render           | Video append frame 74
00:58.484  render           | Video append frame 75
00:58.500  render           | Video append frame 76
00:58.531  render           | Video append frame 77
00:58.547  render           | Video append frame 78
00:58.562  render           | Video append frame 79
00:58.593  render           | Video append frame 80
00:58.609  render           | Video append frame 81
00:58.625  render           | Video append frame 82
00:58.640  render           | Video append frame 83
00:58.672  render           | Video append frame 84
00:58.687  render           | Video append frame 85
00:58.703  render           | Video append frame 86
00:58.734  render           | Video append frame 87
00:58.750  render           | Video append frame 88
00:58.765  render           | Video append frame 89
00:58.781  render           | Video append frame 90
00:58.812  render           | Video append frame 91
00:58.828  render           | Video append frame 92
00:58.843  render           | Video append frame 93
00:58.859  render           | Video append frame 94
00:58.890  render           | Video append frame 95
00:58.906  render           | Video append frame 96
00:58.937  render           | Video append frame 97
00:58.953  render           | Video append frame 98
00:58.968  render           | Video append frame 99
00:59.000  render           | Video append frame 100
00:59.015  render           | Video append frame 101
00:59.031  render           | Video append frame 102
00:59.062  render           | Video append frame 103
00:59.078  render           | Video append frame 104
00:59.093  render           | Video append frame 105
00:59.109  render           | Video append frame 106
00:59.140  render           | Video append frame 107
00:59.156  render           | Video append frame 108
00:59.172  render           | Video append frame 109
00:59.187  render           | Video append frame 110
00:59.218  render           | Video append frame 111
00:59.234  render           | Video append frame 112
00:59.265  render           | Video append frame 113
00:59.281  render           | Video append frame 114
00:59.297  render           | Video append frame 115
00:59.328  render           | Video append frame 116
00:59.343  render           | Video append frame 117
00:59.359  render           | Video append frame 118
00:59.375  render           | Video append frame 119
00:59.406  render           | Video append frame 120
00:59.422  render           | Video append frame 121
00:59.453  render           | Video append frame 1
00:59.484  render           | Video append frame 2
00:59.500  render           | Video append frame 3
00:59.515  render           | Video append frame 4
00:59.547  render           | Video append frame 5
00:59.562  render           | Video append frame 6
00:59.578  render           | Video append frame 7
00:59.593  render           | Video append frame 8
00:59.625  render           | Video append frame 9
00:59.640  render           | Video append frame 10
00:59.656  render           | Video append frame 11
00:59.687  render           | Video append frame 12
00:59.703  render           | Video append frame 13
00:59.718  render           | Video append frame 14
00:59.734  render           | Video append frame 15
00:59.765  render           | Video append frame 16
00:59.781  render           | Video append frame 17
00:59.797  render           | Video append frame 18
00:59.812  render           | Video append frame 19
00:59.843  render           | Video append frame 20
00:59.859  render           | Video append frame 21
00:59.875  render           | Video append frame 22
00:59.906  render           | Video append frame 23
00:59.922  render           | Video append frame 24
00:59.937  render           | Video append frame 25
00:59.953  render           | Video append frame 26
00:59.984  render           | Video append frame 27
01:00.000  render           | Video append frame 28
01:00.015  render           | Video append frame 29
01:00.047  render           | Video append frame 30
01:00.062  render           | Video append frame 31
01:00.078  render           | Video append frame 32
01:00.109  render           | Video append frame 33
01:00.125  render           | Video append frame 34
01:00.140  render           | Video append frame 35
01:00.172  render           | Video append frame 36
01:00.187  render           | Video append frame 37
01:00.203  render           | Video append frame 38
01:00.234  render           | Video append frame 39
01:00.250  render           | Video append frame 40
01:00.265  render           | Video append frame 41
01:00.281  render           | Video append frame 42
01:00.312  render           | Video append frame 43
01:00.328  render           | Video append frame 44
01:00.343  render           | Video append frame 45
01:00.359  render           | Video append frame 46
01:00.390  render           | Video append frame 47
01:00.406  render           | Video append frame 48
01:00.422  render           | Video append frame 49
01:00.437  render           | Video append frame 50
01:00.468  render           | Video append frame 51
01:00.484  render           | Video append frame 52
01:00.500  render           | Video append frame 53
01:00.531  render           | Video append frame 54
01:00.547  render           | Video append frame 55
01:00.578  render           | Video append frame 56
01:00.593  render           | Video append frame 57
01:00.609  render           | Video append frame 58
01:00.640  render           | Video append frame 59
01:00.656  render           | Video append frame 60
01:00.672  render           | Video append frame 61
01:00.718  render           | Video append frame 1
01:00.734  render           | Video append frame 2
01:00.750  render           | Video append frame 3
01:00.781  render           | Video append frame 4
01:00.797  render           | Video append frame 5
01:00.812  render           | Video append frame 6
01:00.843  render           | Video append frame 7
01:00.859  render           | Video append frame 8
01:00.875  render           | Video append frame 9
01:00.906  render           | Video append frame 10
01:00.922  render           | Video append frame 11
01:00.937  render           | Video append frame 12
01:00.968  render           | Video append frame 13
01:00.984  render           | Video append frame 14
01:01.015  render           | Video append frame 15
01:01.031  render           | Video append frame 16
01:01.047  render           | Video append frame 17
01:01.078  render           | Video append frame 18
01:01.109  render           | Video append frame 19
01:01.125  render           | Video append frame 20
01:01.140  render           | Video append frame 21
01:01.172  render           | Video append frame 22
01:01.187  render           | Video append frame 23
01:01.218  render           | Video append frame 24
01:01.234  render           | Video append frame 25
01:01.250  render           | Video append frame 26
01:01.281  render           | Video append frame 27
01:01.297  render           | Video append frame 28
01:01.328  render           | Video append frame 29
01:01.343  render           | Video append frame 30
01:01.359  render           | Video append frame 31
01:01.390  render           | Video append frame 32
01:01.406  render           | Video append frame 33
01:01.422  render           | Video append frame 34
01:01.453  render           | Video append frame 35
01:01.468  render           | Video append frame 36
01:01.500  render           | Video append frame 37
01:01.515  render           | Video append frame 38
01:01.547  render           | Video append frame 39
01:01.562  render           | Video append frame 40
01:01.578  render           | Video append frame 41
01:01.609  render           | Video append frame 42
01:01.625  render           | Video append frame 43
01:01.640  render           | Video append frame 44
01:01.672  render           | Video append frame 45
01:01.687  render           | Video append frame 46
01:01.718  render           | Video append frame 1
01:01.750  render           | Video append frame 2
01:01.765  render           | Video append frame 3
01:01.781  render           | Video append frame 4
01:01.812  render           | Video append frame 5
01:01.828  render           | Video append frame 6
01:01.843  render           | Video append frame 7
01:01.875  render           | Video append frame 8
01:01.890  render           | Video append frame 9
01:01.922  render           | Video append frame 10
01:01.937  render           | Video append frame 11
01:01.953  render           | Video append frame 12
01:01.984  render           | Video append frame 13
01:02.000  render           | Video append frame 14
01:02.031  render           | Video append frame 15
01:02.047  render           | Video append frame 16
01:02.078  render           | Video append frame 17
01:02.109  render           | Video append frame 18
01:02.125  render           | Video append frame 19
01:02.140  render           | Video append frame 20
01:02.172  render           | Video append frame 21
01:02.187  render           | Video append frame 22
01:02.218  render           | Video append frame 23
01:02.234  render           | Video append frame 24
01:02.265  render           | Video append frame 25
01:02.281  render           | Video append frame 26
01:02.312  render           | Video append frame 27
01:02.343  render           | Video append frame 28
01:02.359  render           | Video append frame 29
01:02.390  render           | Video append frame 30
01:02.406  render           | Video append frame 31
01:02.437  render           | Video append frame 32
01:02.453  render           | Video append frame 33
01:02.484  render           | Video append frame 34
01:02.531  render           | Video append frame 1
01:02.547  render           | Video append frame 2
01:02.578  render           | Video append frame 3
01:02.593  render           | Video append frame 4
01:02.625  render           | Video append frame 5
01:02.640  render           | Video append frame 6
01:02.672  render           | Video append frame 7
01:02.687  render           | Video append frame 8
01:02.718  render           | Video append frame 9
01:02.734  render           | Video append frame 10
01:02.750  render           | Video append frame 11
01:02.781  render           | Video append frame 12
01:02.797  render           | Video append frame 13
01:02.828  render           | Video append frame 14
01:02.843  render           | Video append frame 15
01:02.859  render           | Video append frame 16
01:02.890  render           | Video append frame 17
01:02.906  render           | Video append frame 18
01:02.922  render           | Video append frame 19
01:02.953  render           | Video append frame 20
01:02.968  render           | Video append frame 21
01:03.000  render           | Video append frame 22
01:03.015  render           | Video append frame 23
01:03.047  render           | Video append frame 24
01:03.062  render           | Video append frame 25
