seed,round,index,a,b,kind,winner,ticks,timeout,survivors_a,survivors_b
8,1,5,5,-1,2,0,44,0,3,0
8,1,6,6,-1,2,0,44,0,3,0
8,1,7,7,-1,2,0,56,0,4,0
8,2,0,0,-1,2,0,49,0,4,0
8,2,1,1,-1,2,0,85,0,4,0
8,2,2,2,-1,2,0,85,0,4,0
8,2,3,3,-1,2,0,46,0,4,0
8,2,4,4,-1,2,0,117,0,3,0
8,2,5,5,-1,2,0,58,0,4,0
8,2,6,6,-1,2,0,46,0,4,0
8,2,7,7,-1,2,0,101,0,3,0
8,3,0,0,-1,2,0,173,0,5,0
8,3,1,1,-1,2,0,108,0,5,0
8,3,2,2,-1,2,0,133,0,5,0
8,3,3,3,-1,2,0,52,0,5,0
8,3,4,4,-1,2,0,77,0,5,0
8,3,5,5,-1,2,0,64,0,5,0
8,3,6,6,-1,2,0,82,0,5,0
8,3,7,7,-1,2,0,73,0,5,0
8,4,0,0,7,0,1,594,0,0,5
8,4,1,1,5,0,1,249,0,0,4
8,4,2,2,4,0,1,537,0,0,4
8,4,3,3,6,0,1,590,0,0,2
8,5,0,0,-1,2,0,233,0,5,0
8,5,1,1,-1,2,0,133,0,5,0
8,5,2,2,-1,2,0,161,0,5,0
8,5,3,3,-1,2,0,193,0,5,0
8,5,4,4,-1,2,0,189,0,5,0
8,5,5,5,-1,2,0,133,0,5,0
8,5,6,6,-1,2,0,169,0,5,0
8,5,7,7,-1,2,0,184,0,5,0
8,6,0,0,5,0,1,626,0,0,3
8,6,1,1,3,0,1,321,0,0,5
8,6,2,2,6,0,1,519,0,0,4
8,6,3,4,7,0,1,864,0,0,4
8,7,0,0,6,0,1,459,0,0,4
8,7,1,1,4,0,1,522,0,0,3
8,7,2,2,3,0,0,771,0,3,0
8,7,3,5,7,0,1,410,0,0,3
8,8,0,0,4,0,1,900,1,2,2
8,8,1,1,2,0,1,388,0,0,3
8,8,2,3,5,0,0,422,0,3,0
8,8,3,6,7,0,0,716,0,2,0
8,9,0,0,3,0,1,635,0,0,5
8,9,1,1,6,0,1,420,0,0,4
8,9,2,2,7,0,0,677,0,6,0
8,9,3,4,5,0,1,614,0,0,4
8,10,0,0,-1,2,0,173,0,6,0
8,10,1,1,-1,2,0,145,0,6,0
8,10,2,2,-1,2,0,145,0,6,0
8,10,3,3,-1,2,0,181,0,6,0
8,10,4,4,-1,2,0,140,0,6,0
8,10,5,5,-1,2,0,149,0,6,0
8,10,6,6,-1,2,0,149,0,6,0
8,10,7,7,-1,2,0,182,0,6,0
8,11,0,0,2,0,1,774,0,0,4
8,11,1,1,7,0,1,538,0,0,2
8,11,2,3,4,0,0,544,0,5,0
8,11,3,5,6,0,1,900,1,1,3
8,12,0,0,1,0,0,644,0,2,0
8,12,1,2,5,0,1,556,0,0,6
8,12,2,3,7,0,1,773,0,0,4
8,12,3,4,6,0,1,564,0,0,4
8,13,0,0,5,0,1,708,0,0,3
8,13,1,1,7,0,1,480,0,0,5
8,13,2,2,6,0,1,671,0,0,3
8,13,3,3,4,0,1,848,0,0,2
8,14,0,0,4,0,1,900,1,1,2
8,14,1,1,5,0,1,407,0,0,6
8,14,2,2,3,0,1,644,0,0,5
8,14,3,6,7,0,0,685,0,4,0
8,15,0,0,-1,2,0,201,0,6,0
8,15,1,1,-1,2,0,159,0,6,0
8,15,2,2,-1,2,0,221,0,6,0
8,15,3,3,-1,2,0,174,0,6,0
8,15,4,4,-1,2,0,177,0,6,0
8,15,5,5,-1,2,0,153,0,6,0
8,15,6,6,-1,2,0,150,0,6,0
8,15,7,7,-1,2,0,220,0,6,0
8,16,0,0,7,0,1,625,0,0,6
8,16,1,1,2,0,0,900,1,2,1
8,16,2,3,6,0,1,798,0,0,4
8,16,3,4,5,0,0,509,0,6,0
8,17,0,0,1,0,0,697,0,4,0
8,17,1,2,7,0,1,900,1,1,5
8,17,2,3,5,0,0,682,0,4,0
8,17,3,4,6,0,1,613,0,0,4
8,18,0,0,2,0,1,900,1,2,4
8,18,1,1,4,0,0,590,0,3,0
8,18,2,3,7,0,0,830,0,4,0
8,18,3,5,6,0,1,566,0,0,5
8,19,0,0,6,0,1,874,0,0,6
8,19,1,1,3,0,0,586,0,4,0
8,19,2,2,5,0,0,808,0,3,0
8,19,3,4,7,0,1,687,0,0,6
8,20,0,0,-1,2,0,189,0,7,0
8,20,1,1,-1,2,0,149,0,7,0
8,20,2,2,-1,2,0,232,0,7,0
8,20,3,3,-1,2,0,176,0,7,0
8,20,4,4,-1,2,0,201,0,7,0
8,20,5,5,-1,2,0,153,0,7,0
8,20,6,6,-1,2,0,169,0,7,0
8,20,7,7,-1,2,0,190,0,7,0
8,21,0,0,3,0,0,900,1,4,3
8,21,1,1,6,0,1,631,0,0,4
8,21,2,2,4,0,1,595,0,0,5
8,21,3,5,7,0,1,768,0,0,7
8,22,0,0,6,0,0,900,1,3,4
8,22,1,1,7,0,1,470,0,0,6
8,22,2,2,5,0,1,471,0,0,6
8,22,3,3,4,0,0,583,0,6,0
8,23,0,0,4,0,0,758,0,5,0
8,23,1,1,5,0,1,415,0,0,6
8,23,2,2,3,0,0,900,1,3,1
8,23,3,6,7,0,0,582,0,6,0
8,24,0,0,1,0,0,413,0,6,0
8,24,1,2,4,0,0,900,1,5,4
8,24,2,3,6,0,1,576,0,0,5
8,24,3,5,7,0,1,900,1,3,3
8,25,0,0,-1,2,0,313,0,6,0
8,25,1,1,-1,2,0,297,0,6,0
8,25,2,2,-1,2,0,414,0,7,0
8,25,3,3,-1,2,0,301,0,7,0
8,25,4,4,-1,2,0,326,0,7,0
8,25,5,5,-1,2,0,291,0,7,0
8,25,6,6,-1,2,0,292,0,7,0
8,25,7,7,-1,2,0,390,0,7,0
8,26,0,0,3,0,1,797,0,0,5
8,26,1,1,4,0,0,731,0,3,0
8,26,2,2,7,0,1,900,1,1,6
8,26,3,5,6,0,0,588,0,6,0
8,27,0,0,2,0,0,885,0,3,0
8,27,1,1,6,0,1,403,0,0,7
8,27,2,3,5,0,0,636,0,7,0
8,27,3,4,7,0,1,896,0,0,6
8,28,0,0,7,0,0,900,1,6,3
8,28,1,1,3,0,1,446,0,0,5
8,28,2,2,6,0,0,900,1,2,2
8,28,3,4,5,0,1,900,1,4,5
8,29,0,3,7,1,1,728,0,0,7
8,29,1,0,5,0,1,758,0,0,4
8,29,2,2,7,0,1,900,1,1,6
8,29,3,4,6,0,0,702,0,5,0
8,30,0,0,-1,2,0,415,0,7,0
8,30,1,2,-1,2,0,413,0,7,0
8,30,2,3,-1,2,0,367,0,7,0
8,30,3,4,-1,2,0,419,0,6,0
8,30,4,5,-1,2,0,325,0,7,0
8,30,5,6,-1,2,0,374,0,5,0
8,30,6,7,-1,2,0,459,0,7,0
8,31,0,0,3,1,1,660,0,0,5
8,31,1,2,3,0,1,742,0,0,4
8,31,2,4,7,0,1,900,1,4,4
8,31,3,5,6,0,0,745,0,6,0
8,32,0,0,6,0,0,646,0,5,0
8,32,1,2,5,0,1,569,0,0,6
8,32,2,3,7,0,1,900,1,3,5
8,33,0,6,7,1,1,688,0,0,6
8,33,1,0,7,0,1,900,1,3,6
8,33,2,3,5,0,1,900,1,1,5
8,34,0,5,0,1,0,900,1,4,1
8,34,1,0,6,0,0,713,0,6,0
8,34,2,3,7,0,0,841,0,8,0
8,35,0,0,-1,2,0,376,0,8,0
8,35,1,3,-1,2,0,326,0,8,0
8,35,2,5,-1,2,0,303,0,8,0
8,35,3,6,-1,2,0,388,0,7,0
8,35,4,7,-1,2,0,420,0,7,0
8,36,0,7,5,1,1,900,1,1,7
8,36,1,0,3,0,0,900,1,4,2
8,36,2,5,6,0,0,558,0,5,0
8,37,0,5,0,1,0,900,1,4,1
8,37,1,0,7,0,1,900,1,2,8
8,37,2,3,6,0,0,861,0,3,0
8,38,0,3,5,0,0,650,0,5,0
8,38,1,6,7,0,0,900,1,2,2
8,39,0,3,6,0,0,540,0,8,0
8,39,1,5,7,0,0,900,1,5,4
