wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
6.662580,1,3,6,41,1,16.666800,2.851800,3.539400,12.114000,1,49045,49045,1,1
6.686747,2,3,6,40,0,16.667002,2.605400,4.358800,16.728100,1,49229,49229,1,0
6.718468,2,3,5,40,0,39.062103,38.037201,4.358800,16.728100,1,49229,49229,1,0
6.735035,2,3,5,40,0,16.666901,4.294900,6.299900,9.971700,1,49229,49229,1,0
6.751662,2,3,5,40,0,16.666800,3.655700,5.266100,11.052100,1,49229,49229,1,0
6.768564,2,3,5,40,0,16.666800,3.857000,4.547200,16.435200,1,49229,49229,1,0
6.785031,2,3,5,40,0,16.666901,3.354600,4.395600,16.927700,1,49229,49229,1,0
6.801752,2,3,5,40,0,16.666698,3.320700,4.351700,16.288799,1,49229,49229,1,0
6.818320,2,3,5,40,0,16.666901,2.933200,4.209600,16.967699,1,49229,49229,1,0
6.835010,2,3,5,40,0,16.666698,3.140300,5.664000,16.389099,1,49229,49229,1,0
6.851849,2,3,5,40,0,16.666901,3.042200,4.045400,16.643000,1,49229,49229,1,0
6.868292,2,3,5,40,0,16.666901,3.209300,5.566800,17.167400,1,49229,49229,1,0
6.885096,2,3,5,40,0,16.667002,3.283200,3.435800,16.112600,1,49229,49229,1,0
6.902638,2,3,5,40,0,16.666800,3.023000,4.086800,16.908300,1,49229,49229,1,0
6.918355,2,3,5,40,0,16.666800,3.984400,4.773300,17.436701,1,49229,49229,1,0
6.935988,0,4,5,0,0,16.666998,2.938800,3.547300,15.815700,1,7869,7869,0,0
6.966109,0,4,5,0,0,29.869102,30.036100,3.547300,15.815700,1,7869,7869,0,0
6.981499,0,4,5,0,0,16.666800,4.036000,5.031100,8.939500,1,7869,7869,0,0
6.998178,0,4,5,0,0,16.667002,3.809100,4.334700,10.425300,1,7869,7869,0,0
7.014832,0,4,5,0,0,16.666901,5.514000,4.514300,19.647499,1,7869,7869,0,0
7.033274,0,4,4,0,0,16.666897,4.195400,4.523500,13.861900,1,7869,7869,0,0
7.048166,0,4,4,0,0,16.666901,4.776500,3.348900,18.490400,1,7869,7869,0,0
7.064789,0,4,4,0,0,16.666702,2.944200,4.172800,15.172600,1,7869,7869,0,0
7.081416,0,4,4,0,0,16.666897,2.453900,3.328900,16.044001,1,7869,7869,0,0
7.098074,0,4,4,0,0,16.666702,1.978300,3.714000,16.779301,1,7869,7869,0,0
7.115602,0,4,4,0,0,16.666800,2.439900,3.074600,16.434200,1,7869,7869,0,0
7.131518,0,4,4,0,0,16.666998,2.894900,3.879400,17.529800,1,7869,7869,0,0
7.148059,0,4,4,0,0,16.666901,4.151100,4.935800,17.730600,1,7869,7869,0,0
7.164776,0,4,4,0,0,16.666702,2.492700,3.820400,14.821400,1,7869,7869,0,0
7.182497,0,4,4,0,0,16.666800,2.303800,4.453800,16.765900,1,7869,7869,0,0
7.199851,0,4,4,0,0,16.666800,5.785200,4.480200,20.366301,1,7867,7867,0,0
7.214938,0,4,4,0,0,16.666901,5.152700,3.545600,14.699600,1,7867,7867,0,0
7.231420,0,4,4,0,0,16.666901,2.467800,4.292800,15.062000,1,7867,7867,0,0
7.248556,0,4,4,0,0,16.666698,2.231700,4.225400,16.400400,1,7867,7867,0,0
7.385637,0,4,4,0,0,136.089600,2.745800,0.439300,17.159100,1,7867,7867,0,0
7.400831,0,4,4,0,0,16.666698,117.942497,4.268300,139.290695,1,7938,7938,0,0
7.417615,0,4,5,0,0,16.667002,3.498300,4.663000,13.402100,1,7938,7938,0,0
7.434287,0,4,5,0,0,16.666998,2.320900,3.515100,16.452600,1,7938,7938,0,0
7.452350,0,4,5,0,0,16.667002,2.262500,3.637500,16.873501,1,7938,7938,0,0
7.467552,0,4,5,0,0,16.666698,3.610200,3.970500,18.007000,1,7938,7938,0,0
7.484267,0,4,5,0,0,16.666901,2.316200,3.945000,15.028200,1,7938,7938,0,0
7.500951,0,4,5,0,0,16.666800,2.421000,4.482800,16.707600,1,7938,7938,0,0
7.517538,0,4,5,0,0,16.666800,2.288600,3.288400,16.549900,1,7938,7938,0,0
7.534560,0,4,5,0,0,16.666901,2.025600,3.797600,16.728100,1,7938,7938,0,0
7.550940,0,4,5,0,0,16.666698,2.521800,4.507800,16.977900,1,7938,7938,0,0
7.567593,0,4,5,0,0,16.667002,2.382800,4.385300,16.314301,1,7938,7938,0,0
7.584222,0,4,5,0,0,16.666698,4.602800,3.689300,19.150900,1,7864,7864,0,0
7.601116,0,4,4,0,0,16.666702,2.590400,4.018900,14.253000,1,7864,7864,0,0
7.617695,0,4,4,0,0,16.790699,2.690100,3.523300,16.814100,1,7864,7864,0,0
7.634359,0,4,4,0,0,16.666800,2.194200,3.232900,16.573500,1,7864,7864,0,0
