wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
5.004937,0,3,4,0,0,16.666698,2.767600,3.959300,17.124399,1,8801,8801,1,0
5.021259,0,3,4,0,0,16.666901,2.931400,3.379600,16.116699,1,8801,8801,1,0
5.037957,0,3,4,0,0,16.666800,1.929500,4.405300,16.389200,1,8801,8801,1,0
5.054626,0,3,4,0,0,16.666901,2.892900,4.531700,17.243099,1,8801,8801,1,0
5.071599,0,3,4,0,0,16.666897,2.304700,3.885900,16.160801,1,8801,8801,1,0
5.087922,0,3,4,0,0,16.666803,5.061700,5.235600,18.872299,1,8877,8877,1,0
5.104688,0,3,5,0,0,16.666698,3.610700,3.553000,14.702600,1,8877,8877,1,0
5.121241,0,3,5,0,0,16.666800,1.986300,3.886000,16.317400,1,8877,8877,1,0
5.139005,0,3,5,0,0,16.666698,2.399800,4.497100,16.689199,1,8877,8877,1,0
5.155186,0,3,5,0,0,16.667002,3.656400,3.756500,17.723400,1,8877,8877,1,0
5.171313,0,3,5,0,0,16.667002,3.007400,4.247300,16.155600,1,8877,8877,1,0
5.187928,0,3,5,0,0,16.666897,2.680600,4.726700,16.419800,1,8877,8877,1,0
5.307010,0,3,5,0,0,117.990898,4.322800,0.337300,18.203699,1,8877,8877,1,0
5.322774,0,3,5,0,0,16.674101,98.773399,4.614400,119.222298,1,8874,8874,1,0
5.339276,0,3,5,0,0,16.666800,3.951400,4.023800,13.803500,1,8874,8874,1,0
5.356502,0,3,5,0,0,16.666901,2.992500,3.443900,16.475100,1,8874,8874,1,0
5.372615,0,3,5,0,0,16.666698,2.853000,4.497800,17.214500,1,8874,8874,1,0
5.390905,0,3,5,0,0,16.666901,2.413800,3.620200,16.061399,1,8875,8875,1,0
5.405919,0,3,5,0,0,16.666901,3.902300,4.592700,18.369600,1,8875,8875,1,0
5.422973,0,3,5,0,0,16.666901,2.300300,4.277900,14.934000,1,8875,8875,1,0
