wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
5.005425,2,2,4,32,0,16.666698,2.304500,4.756200,16.692200,1,42304,42304,1,0
5.022069,2,2,4,32,0,16.667002,2.205600,3.983200,16.950300,1,42304,42304,1,0
5.038803,2,2,4,32,0,16.691000,2.435500,3.805900,16.920601,1,42304,42304,1,0
5.057756,0,3,4,0,0,16.666901,3.700700,4.160500,17.325001,1,8234,8234,1,0
5.077240,0,3,4,0,0,21.922897,22.187401,4.160500,17.325001,1,8234,8234,1,0
5.093935,0,3,4,0,0,16.666901,5.505800,5.078900,9.491500,1,8234,8234,1,0
5.110562,0,3,4,0,0,16.666800,3.247700,4.084700,9.822200,1,8234,8234,1,0
5.127420,0,3,4,0,0,16.666800,2.367600,4.339200,16.572399,1,8234,8234,1,0
5.143983,0,3,4,0,0,16.666901,2.459400,4.160700,16.781300,1,8234,8234,1,0
5.160564,0,3,4,0,0,16.666800,2.070400,3.771100,16.646200,1,8234,8234,1,0
5.177259,0,3,4,0,0,16.666901,2.312500,4.477200,16.583700,1,8234,8234,1,0
5.194343,0,3,4,0,0,16.666698,2.167500,4.108100,16.726000,1,8234,8234,1,0
5.210681,0,3,4,0,0,16.666800,2.727500,4.353200,17.091600,1,8234,8234,1,0
5.227283,0,3,4,0,0,16.666901,3.757800,4.129000,18.036699,1,8234,8234,1,0
5.243899,0,3,4,0,0,16.666702,2.375600,3.968500,14.854100,1,8234,8234,1,0
5.261126,0,3,4,0,0,16.666800,2.072800,4.102300,16.606300,1,8234,8234,1,0
5.277307,0,3,4,0,0,16.667500,4.143300,3.883900,19.038200,1,8888,8888,1,0
5.293974,0,3,5,0,0,16.666800,3.898600,3.891600,15.080400,1,8888,8888,1,0
5.311610,0,3,5,0,0,16.666800,2.569200,3.802500,16.069700,1,8888,8888,1,0
5.327253,0,3,5,0,0,16.666901,3.256000,4.001400,17.521601,1,8888,8888,1,0
5.344450,0,3,5,0,0,16.666998,1.931200,3.881000,15.518700,1,8888,8888,1,0
5.360580,0,3,5,0,0,16.666800,2.416200,3.258800,17.293400,1,8888,8888,1,0
5.468084,0,3,5,0,0,106.663200,1.878600,0.336900,16.138201,1,8888,8888,1,0
5.484668,0,3,5,0,0,16.666901,87.905296,3.806200,109.455399,1,8885,8885,1,0
5.500596,0,3,5,0,0,16.666901,4.198300,3.587900,14.647300,1,8885,8885,1,0
5.517238,0,3,5,0,0,16.667002,1.905700,3.552100,15.952900,1,8885,8885,1,0
5.533902,0,3,5,0,0,16.666698,2.317900,3.051700,16.612301,1,8885,8885,1,0
5.551032,0,3,5,0,0,16.666901,1.744400,2.827200,16.564301,1,8885,8885,1,0
5.568368,0,3,5,0,0,16.666698,2.447200,3.581000,17.390499,1,8883,8883,1,0
5.583939,0,3,5,0,0,16.666800,3.301400,3.450900,17.438700,1,8883,8883,1,0
5.602947,0,3,5,0,0,19.020601,2.180500,3.897800,15.397900,1,8883,8883,1,0
5.621693,0,3,5,0,0,18.239998,1.839400,4.965600,18.892799,1,8883,8883,1,0
5.638711,0,3,5,0,0,17.553200,2.742100,3.887700,18.732000,1,8883,8883,1,0
5.658824,0,3,5,0,0,20.054501,2.608000,3.910200,17.043501,1,8883,8883,1,0
5.677516,0,3,5,0,0,18.706600,5.406500,3.947000,23.015400,1,8883,8883,1,0
5.694495,0,3,5,0,0,16.708401,3.220100,3.732200,16.089100,1,8883,8883,1,0
5.711403,0,3,5,0,0,17.194799,2.628500,3.658300,16.713699,1,8883,8883,1,0
5.728087,0,3,5,0,0,16.696501,4.948600,4.500200,18.836500,1,8883,8883,1,0
5.744889,0,3,5,0,0,16.803499,2.560900,3.573100,14.675000,1,8883,8883,1,0
5.762813,0,3,5,0,0,17.508398,2.470000,3.916100,17.052601,1,8883,8883,1,0
5.779644,0,3,5,0,0,17.239902,2.745000,4.209700,17.625099,1,8883,8883,1,0
5.798866,0,3,5,0,0,19.122097,2.293200,4.312100,16.934900,1,8883,8883,1,0
5.816976,0,3,5,0,0,18.194801,2.579200,3.717800,19.336201,1,8883,8883,1,0
5.835931,0,3,5,0,0,17.022699,2.719400,4.003900,18.188299,1,8880,8880,1,0
5.850871,0,3,5,0,0,16.777500,4.239300,4.220600,18.874399,1,8880,8880,1,0
5.867446,0,3,5,0,0,16.667597,5.278600,4.204100,18.173901,1,8879,8879,1,0
5.891871,0,3,5,0,0,23.872801,3.309300,2.936500,13.167600,1,8879,8879,1,0
5.908156,0,3,5,0,0,16.773001,2.634200,4.473500,24.476700,1,8879,8879,1,0
5.924792,0,3,5,0,0,16.717001,3.023900,3.833600,16.536600,1,8879,8879,1,0
5.942946,0,3,5,0,0,18.125500,3.011600,5.120200,16.436199,1,8879,8879,1,0
5.959926,0,3,5,0,0,16.668598,2.831900,4.845200,18.184200,1,8879,8879,1,0
5.976397,0,3,5,0,0,16.780499,4.750800,4.545900,18.313200,1,8879,8879,1,0
5.993097,0,3,5,0,0,16.690399,3.360900,4.100600,15.004700,1,8879,8879,1,0
6.011231,0,3,5,0,0,18.102102,2.449300,5.039600,16.962601,1,8879,8879,1,0
6.027837,0,3,5,0,0,16.666698,3.199200,4.030900,18.185200,1,8879,8879,1,0
