frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919970.172116201,489806,frame-00000.png
1,0.100000001,16919970.240262199,473709,frame-00001.png
2,0.150000006,16919970.310546201,490720,frame-00002.png
3,0.200000003,16919970.379178200,481823,frame-00003.png
4,0.250000000,16919970.450163301,478311,frame-00004.png
5,0.300000012,16919970.517834399,486548,frame-00005.png
6,0.350000024,16919970.586608801,490720,frame-00006.png
7,0.000000030,16919970.657695800,489851,frame-00007.png
8,0.050000031,16919970.726250701,490282,frame-00008.png
