00:02.156  blend            | Read blend: "C:\Users\iputu\Documents\Wonder Chess\art-source\heroes\wc_u_dragonkin_guardian\wc_u_dragonkin_guardian.blend"
01:52.219  render           | Video append frame 67
01:52.235  render           | Video append frame 68
01:52.266  render           | Video append frame 69
01:52.281  render           | Video append frame 70
01:52.313  render           | Video append frame 71
01:52.328  render           | Video append frame 72
01:52.360  render           | Video append frame 73
01:52.375  render           | Video append frame 74
01:52.406  render           | Video append frame 75
01:52.422  render           | Video append frame 76
01:52.453  render           | Video append frame 77
01:52.469  render           | Video append frame 78
01:52.500  render           | Video append frame 79
01:52.516  render           | Video append frame 80
01:52.531  render           | Video append frame 81
01:52.563  render           | Video append frame 82
01:52.578  render           | Video append frame 83
01:52.594  render           | Video append frame 84
01:52.625  render           | Video append frame 85
01:52.641  render           | Video append frame 86
01:52.672  render           | Video append frame 87
01:52.688  render           | Video append frame 88
01:52.719  render           | Video append frame 89
01:52.735  render           | Video append frame 90
01:52.766  render           | Video append frame 91
01:52.781  render           | Video append frame 92
01:52.797  render           | Video append frame 93
01:52.828  render           | Video append frame 94
01:52.844  render           | Video append frame 95
01:52.860  render           | Video append frame 96
01:52.891  render           | Video append frame 97
01:52.906  render           | Video append frame 98
01:52.922  render           | Video append frame 99
01:52.953  render           | Video append frame 100
01:52.969  render           | Video append frame 101
01:53.000  render           | Video append frame 102
01:53.016  render           | Video append frame 103
01:53.047  render           | Video append frame 104
01:53.063  render           | Video append frame 105
01:53.078  render           | Video append frame 106
01:53.110  render           | Video append frame 107
01:53.125  render           | Video append frame 108
01:53.141  render           | Video append frame 109
01:53.172  render           | Video append frame 110
01:53.188  render           | Video append frame 111
01:53.219  render           | Video append frame 112
01:53.235  render           | Video append frame 113
01:53.250  render           | Video append frame 114
01:53.281  render           | Video append frame 115
01:53.297  render           | Video append frame 116
01:53.313  render           | Video append frame 117
01:53.344  render           | Video append frame 118
01:53.360  render           | Video append frame 119
01:53.391  render           | Video append frame 120
01:53.406  render           | Video append frame 121
01:53.453  render           | Video append frame 1
01:53.485  render           | Video append frame 2
01:53.500  render           | Video append frame 3
01:53.516  render           | Video append frame 4
01:53.547  render           | Video append frame 5
01:53.563  render           | Video append frame 6
01:53.594  render           | Video append frame 7
01:53.610  render           | Video append frame 8
01:53.641  render           | Video append frame 9
01:53.656  render           | Video append frame 10
01:53.672  render           | Video append frame 11
01:53.703  render           | Video append frame 12
01:53.719  render           | Video append frame 13
01:53.750  render           | Video append frame 14
01:53.766  render           | Video append frame 15
01:53.781  render           | Video append frame 16
01:53.813  render           | Video append frame 17
01:53.828  render           | Video append frame 18
01:53.844  render           | Video append frame 19
01:53.875  render           | Video append frame 20
01:53.891  render           | Video append frame 21
01:53.906  render           | Video append frame 22
01:53.953  render           | Video append frame 23
01:53.969  render           | Video append frame 24
01:53.985  render           | Video append frame 25
01:54.016  render           | Video append frame 26
01:54.031  render           | Video append frame 27
01:54.047  render           | Video append frame 28
01:54.078  render           | Video append frame 29
01:54.094  render           | Video append frame 30
01:54.110  render           | Video append frame 31
01:54.156  render           | Video append frame 32
01:54.172  render           | Video append frame 33
01:54.203  render           | Video append frame 34
01:54.219  render           | Video append frame 35
01:54.235  render           | Video append frame 36
01:54.266  render           | Video append frame 37
01:54.281  render           | Video append frame 38
01:54.313  render           | Video append frame 39
01:54.328  render           | Video append frame 40
01:54.344  render           | Video append frame 41
01:54.375  render           | Video append frame 42
01:54.391  render           | Video append frame 43
01:54.406  render           | Video append frame 44
01:54.438  render           | Video append frame 45
01:54.453  render           | Video append frame 46
01:54.469  render           | Video append frame 47
01:54.500  render           | Video append frame 48
01:54.516  render           | Video append frame 49
01:54.547  render           | Video append frame 50
01:54.563  render           | Video append frame 51
01:54.594  render           | Video append frame 52
01:54.610  render           | Video append frame 53
01:54.641  render           | Video append frame 54
01:54.656  render           | Video append frame 55
01:54.672  render           | Video append frame 56
01:54.703  render           | Video append frame 57
01:54.719  render           | Video append frame 58
01:54.750  render           | Video append frame 59
01:54.766  render           | Video append frame 60
01:54.781  render           | Video append frame 61
01:54.828  render           | Video append frame 1
01:54.844  render           | Video append frame 2
01:54.860  render           | Video append frame 3
01:54.891  render           | Video append frame 4
01:54.906  render           | Video append frame 5
01:54.938  render           | Video append frame 6
01:54.953  render           | Video append frame 7
01:54.985  render           | Video append frame 8
01:55.000  render           | Video append frame 9
01:55.016  render           | Video append frame 10
01:55.047  render           | Video append frame 11
01:55.063  render           | Video append frame 12
01:55.078  render           | Video append frame 13
01:55.110  render           | Video append frame 14
01:55.125  render           | Video append frame 15
01:55.141  render           | Video append frame 16
01:55.172  render           | Video append frame 17
01:55.188  render           | Video append frame 18
01:55.203  render           | Video append frame 19
01:55.235  render           | Video append frame 20
01:55.250  render           | Video append frame 21
01:55.266  render           | Video append frame 22
01:55.297  render           | Video append frame 23
01:55.313  render           | Video append frame 24
01:55.328  render           | Video append frame 25
01:55.360  render           | Video append frame 26
01:55.375  render           | Video append frame 27
01:55.391  render           | Video append frame 28
01:55.422  render           | Video append frame 29
01:55.453  render           | Video append frame 30
01:55.469  render           | Video append frame 31
01:55.485  render           | Video append frame 32
01:55.516  render           | Video append frame 33
01:55.531  render           | Video append frame 34
01:55.563  render           | Video append frame 35
01:55.578  render           | Video append frame 36
01:55.610  render           | Video append frame 37
01:55.625  render           | Video append frame 38
01:55.641  render           | Video append frame 39
01:55.672  render           | Video append frame 40
01:55.703  render           | Video append frame 1
01:55.735  render           | Video append frame 2
01:55.750  render           | Video append frame 3
01:55.766  render           | Video append frame 4
01:55.797  render           | Video append frame 5
01:55.813  render           | Video append frame 6
01:55.844  render           | Video append frame 7
01:55.860  render           | Video append frame 8
