experiment,seed,round,seat,winner,timeout,health_after,damage,reward
7,101,1,0,0,0,60,0,2
7,101,1,1,0,0,60,0,2
7,101,1,2,0,0,60,0,2
7,101,1,3,0,0,60,0,2
7,101,1,4,0,0,60,0,2
7,101,1,5,0,0,60,0,2
7,101,1,6,0,0,60,0,2
7,101,1,7,0,0,60,0,2
7,101,2,0,0,0,60,0,2
7,101,2,1,0,0,60,0,2
7,101,2,2,0,0,60,0,2
7,101,2,3,0,0,60,0,2
7,101,2,4,0,0,60,0,2
7,101,2,5,0,0,60,0,2
7,101,2,6,0,0,60,0,2
7,101,2,7,0,0,60,0,2
7,101,3,0,0,0,60,0,2
7,101,3,1,0,0,60,0,2
7,101,3,2,0,0,60,0,2
7,101,3,3,0,0,60,0,2
7,101,3,4,0,0,60,0,2
7,101,3,5,0,0,60,0,2
7,101,3,6,0,0,60,0,2
7,101,3,7,0,0,60,0,2
7,101,5,0,0,0,60,0,2
7,101,5,1,0,0,56,0,2
7,101,5,2,0,0,56,0,2
7,101,5,3,0,0,60,0,2
7,101,5,4,0,0,60,0,2
7,101,5,5,0,0,60,0,2
7,101,5,6,0,0,56,0,2
7,101,5,7,0,0,56,0,2
7,101,10,0,0,0,54,0,2
7,101,10,1,0,0,51,0,2
7,101,10,2,0,0,43,0,2
7,101,10,3,0,0,34,0,2
7,101,10,4,0,0,50,0,2
7,101,10,5,0,0,60,0,2
7,101,10,6,0,0,27,0,2
7,101,10,7,0,0,52,0,2
7,101,15,0,0,0,39,0,2
7,101,15,1,0,0,39,0,2
7,101,15,2,0,0,43,0,2
7,101,15,4,0,0,32,0,2
7,101,15,5,0,0,60,0,2
7,101,15,7,0,0,44,0,2
7,101,20,0,0,0,33,0,2
7,101,20,1,0,0,22,0,2
7,101,20,2,0,0,19,0,2
7,101,20,4,1,0,0,2,0
7,101,20,5,0,0,60,0,2
7,101,20,7,0,0,29,0,2
7,101,25,0,0,0,33,0,2
7,101,25,1,1,1,2,2,0
7,101,25,5,0,0,43,0,2
7,101,25,7,0,0,3,0,2
7,101,30,0,1,0,13,2,0
7,101,30,5,1,0,12,2,0
7,102,1,0,0,0,60,0,2
7,102,1,1,0,0,60,0,2
7,102,1,2,0,0,60,0,2
7,102,1,3,0,0,60,0,2
7,102,1,4,0,0,60,0,2
7,102,1,5,0,0,60,0,2
7,102,1,6,0,0,60,0,2
7,102,1,7,0,0,60,0,2
7,102,2,0,0,0,60,0,2
