experiment,seed,rounds,simulated_ms,capped,bot_rejects
7,101,32,1319250,0,0
7,102,28,1087650,0,0
7,103,28,1155650,0,0
7,104,33,1379250,0,0
7,105,32,1286050,0,0
7,106,36,1515550,0,0
7,107,31,1249650,0,0
7,108,32,1271050,0,0
7,109,28,1154800,0,0
7,110,31,1238100,0,0
7,111,28,1163200,0,0
7,112,31,1294850,0,0
7,113,29,1206850,0,0
7,114,32,1302400,0,0
7,115,38,1565650,0,0
7,116,32,1315000,0,0
7,117,29,1188100,0,0
7,118,29,1124300,0,0
7,119,29,1237750,0,0
7,120,29,1182550,0,0
7,121,28,1131450,0,0
7,122,32,1315950,0,0
7,123,30,1222900,0,0
7,124,32,1276750,0,0
7,125,38,1568950,0,0
7,126,29,1234050,0,0
7,127,28,1117300,0,0
7,128,31,1285850,0,0
7,129,30,1163600,0,0
7,130,33,1344250,0,0
7,131,32,1244900,0,0
7,132,31,1266750,0,0
7,133,29,1201750,0,0
7,134,32,1328850,0,0
7,135,36,1437950,0,0
7,136,28,1218400,0,0
7,137,28,1114700,0,0
7,138,29,1181200,0,0
7,139,29,1113800,0,0
7,140,34,1410750,0,0
7,141,32,1325850,0,0
7,142,32,1282350,0,0
7,143,32,1191350,0,0
7,144,31,1219700,0,0
7,145,33,1328950,0,0
7,146,29,1218600,0,0
7,147,32,1321450,0,0
7,148,32,1242200,0,0
7,149,30,1194650,0,0
7,150,29,1206400,0,0
7,151,27,1048000,0,0
7,152,29,1183450,0,0
7,153,33,1347800,0,0
7,154,33,1371850,0,0
7,155,30,1280850,0,0
7,156,31,1207400,0,0
7,157,29,1102800,0,0
7,158,33,1372500,0,0
7,159,32,1325750,0,0
7,160,28,1194250,0,0
7,161,31,1276250,0,0
7,162,31,1265350,0,0
7,163,29,1152650,0,0
7,164,31,1299950,0,0
7,165,33,1335850,0,0
7,166,28,1172000,0,0
7,167,32,1258400,0,0
7,168,29,1172900,0,0
7,169,29,1193550,0,0
7,170,32,1340600,0,0
7,171,31,1305650,0,0
7,172,33,1375100,0,0
7,173,29,1197500,0,0
7,174,26,1107250,0,0
7,175,28,1161400,0,0
7,176,29,1204450,0,0
7,177,31,1177950,0,0
7,178,29,1157600,0,0
7,179,30,1144200,0,0
7,180,27,1107650,0,0
7,181,28,1151700,0,0
7,182,28,1163350,0,0
7,183,29,1168200,0,0
7,184,37,1546850,0,0
7,185,28,1129450,0,0
7,186,30,1216200,0,0
7,187,29,1221750,0,0
7,188,33,1336350,0,0
7,189,31,1261000,0,0
7,190,31,1232200,0,0
7,191,27,1100600,0,0
7,192,34,1434200,0,0
7,193,28,1114150,0,0
7,194,27,1070300,0,0
7,195,28,1187150,0,0
7,196,28,1145950,0,0
7,197,29,1118500,0,0
7,198,34,1367300,0,0
7,199,31,1243750,0,0
7,200,31,1229250,0,0
