seed,round,index,variant,timeout,winner,ticks,survivors_a,survivors_b
1,7,2,baseline_replay,1,0,900,2,2
1,7,2,zero_healing_fixture,0,0,488,3,0
1,7,2,90s_timeout_fixture,0,1,1394,0,2
1,7,2,125pct_basic_damage_fixture,0,0,397,4,0
