C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
01:39.532  render           | Video append frame 57
01:39.563  render           | Video append frame 58
01:39.578  render           | Video append frame 59
01:39.594  render           | Video append frame 60
01:39.610  render           | Video append frame 61
01:39.641  render           | Video append frame 62
01:39.657  render           | Video append frame 63
01:39.672  render           | Video append frame 64
01:39.688  render           | Video append frame 65
01:39.703  render           | Video append frame 66
01:39.735  render           | Video append frame 67
01:39.750  render           | Video append frame 68
01:39.766  render           | Video append frame 69
01:39.797  render           | Video append frame 70
01:39.813  render           | Video append frame 71
01:39.828  render           | Video append frame 72
01:39.844  render           | Video append frame 73
01:39.860  render           | Video append frame 74
01:39.891  render           | Video append frame 75
01:39.907  render           | Video append frame 76
01:39.922  render           | Video append frame 77
01:39.938  render           | Video append frame 78
01:39.969  render           | Video append frame 79
01:39.985  render           | Video append frame 80
01:40.000  render           | Video append frame 81
01:40.032  render           | Video append frame 82
01:40.047  render           | Video append frame 83
01:40.063  render           | Video append frame 84
01:40.094  render           | Video append frame 85
01:40.110  render           | Video append frame 86
01:40.125  render           | Video append frame 87
01:40.157  render           | Video append frame 88
01:40.172  render           | Video append frame 89
01:40.188  render           | Video append frame 90
01:40.219  render           | Video append frame 91
01:40.235  render           | Video append frame 92
01:40.250  render           | Video append frame 93
01:40.282  render           | Video append frame 94
01:40.297  render           | Video append frame 95
01:40.313  render           | Video append frame 96
01:40.328  render           | Video append frame 97
01:40.344  render           | Video append frame 98
01:40.375  render           | Video append frame 99
01:40.391  render           | Video append frame 100
01:40.407  render           | Video append frame 101
01:40.438  render           | Video append frame 102
01:40.453  render           | Video append frame 103
01:40.469  render           | Video append frame 104
01:40.485  render           | Video append frame 105
01:40.500  render           | Video append frame 106
01:40.532  render           | Video append frame 107
01:40.547  render           | Video append frame 108
01:40.563  render           | Video append frame 109
01:40.578  render           | Video append frame 110
01:40.610  render           | Video append frame 111
01:40.625  render           | Video append frame 112
01:40.641  render           | Video append frame 113
01:40.657  render           | Video append frame 114
01:40.688  render           | Video append frame 115
01:40.703  render           | Video append frame 116
01:40.719  render           | Video append frame 117
01:40.750  render           | Video append frame 118
01:40.766  render           | Video append frame 119
01:40.782  render           | Video append frame 120
01:40.797  render           | Video append frame 121
01:40.844  render           | Video append frame 1
01:40.860  render           | Video append frame 2
01:40.891  render           | Video append frame 3
01:40.907  render           | Video append frame 4
01:40.922  render           | Video append frame 5
01:40.953  render           | Video append frame 6
01:40.969  render           | Video append frame 7
01:40.985  render           | Video append frame 8
01:41.000  render           | Video append frame 9
01:41.032  render           | Video append frame 10
01:41.047  render           | Video append frame 11
01:41.078  render           | Video append frame 12
01:41.094  render           | Video append frame 13
01:41.110  render           | Video append frame 14
01:41.125  render           | Video append frame 15
01:41.157  render           | Video append frame 16
01:41.172  render           | Video append frame 17
01:41.188  render           | Video append frame 18
01:41.203  render           | Video append frame 19
01:41.235  render           | Video append frame 20
01:41.250  render           | Video append frame 21
01:41.266  render           | Video append frame 22
01:41.282  render           | Video append frame 23
01:41.313  render           | Video append frame 24
01:41.328  render           | Video append frame 25
01:41.344  render           | Video append frame 26
01:41.375  render           | Video append frame 27
01:41.391  render           | Video append frame 28
01:41.422  render           | Video append frame 29
01:41.438  render           | Video append frame 30
01:41.469  render           | Video append frame 31
01:41.485  render           | Video append frame 32
01:41.500  render           | Video append frame 33
01:41.532  render           | Video append frame 34
01:41.547  render           | Video append frame 35
01:41.563  render           | Video append frame 36
01:41.594  render           | Video append frame 37
01:41.610  render           | Video append frame 38
01:41.625  render           | Video append frame 39
01:41.657  render           | Video append frame 40
01:41.672  render           | Video append frame 41
01:41.688  render           | Video append frame 42
01:41.703  render           | Video append frame 43
01:41.735  render           | Video append frame 44
01:41.750  render           | Video append frame 45
01:41.782  render           | Video append frame 46
01:41.797  render           | Video append frame 47
01:41.813  render           | Video append frame 48
01:41.844  render           | Video append frame 49
01:41.860  render           | Video append frame 50
01:41.891  render           | Video append frame 51
01:41.907  render           | Video append frame 52
01:41.922  render           | Video append frame 53
01:41.953  render           | Video append frame 54
01:41.969  render           | Video append frame 55
01:42.000  render           | Video append frame 56
01:42.016  render           | Video append frame 57
01:42.032  render           | Video append frame 58
01:42.063  render           | Video append frame 59
01:42.078  render           | Video append frame 60
01:42.094  render           | Video append frame 61
01:42.141  render           | Video append frame 1
01:42.157  render           | Video append frame 2
01:42.172  render           | Video append frame 3
01:42.203  render           | Video append frame 4
01:42.219  render           | Video append frame 5
01:42.235  render           | Video append frame 6
01:42.266  render           | Video append frame 7
01:42.282  render           | Video append frame 8
01:42.297  render           | Video append frame 9
01:42.313  render           | Video append frame 10
01:42.344  render           | Video append frame 11
01:42.360  render           | Video append frame 12
01:42.391  render           | Video append frame 13
01:42.407  render           | Video append frame 14
01:42.422  render           | Video append frame 15
01:42.453  render           | Video append frame 16
01:42.469  render           | Video append frame 17
01:42.485  render           | Video append frame 18
01:42.516  render           | Video append frame 19
01:42.532  render           | Video append frame 20
01:42.547  render           | Video append frame 21
01:42.563  render           | Video append frame 22
01:42.594  render           | Video append frame 23
01:42.610  render           | Video append frame 24
01:42.641  render           | Video append frame 25
01:42.657  render           | Video append frame 26
01:42.672  render           | Video append frame 27
01:42.703  render           | Video append frame 28
01:42.719  render           | Video append frame 29
01:42.735  render           | Video append frame 30
01:42.766  render           | Video append frame 31
01:42.782  render           | Video append frame 32
01:42.813  render           | Video append frame 33
01:42.828  render           | Video append frame 34
01:42.860  render           | Video append frame 35
