frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919900.940936401,478557,frame-00000.png
1,0.100000001,16919901.012545001,483975,frame-00001.png
2,0.150000006,16919901.083214201,485164,frame-00002.png
3,0.200000003,16919901.150876299,482839,frame-00003.png
4,0.250000000,16919901.218443599,484504,frame-00004.png
5,0.300000012,16919901.280797798,470965,frame-00005.png
6,0.350000024,16919901.344877400,491473,frame-00006.png
7,0.000000030,16919901.416416600,487855,frame-00007.png
8,0.050000031,16919901.479786299,480155,frame-00008.png
