C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_pippa.py:60: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat=bpy.data.materials.new('M_'+UID);mat.use_nodes=True
00:17.578  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\front.png'
00:20.797  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\side.png'
00:24.062  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\back.png'
00:27.594  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\three-quarter.png'
00:30.828  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\face.png'
00:35.344  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\game-angle.png'
00:38.375  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\exports\heroes\wc_u_halfling_warrior\portrait.png'
00:38.969  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Idle-start.png'
00:39.578  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Idle-release.png'
00:40.203  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Idle-end.png'
00:40.812  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Move-start.png'
00:41.391  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Move-release.png'
00:42.031  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Move-end.png'
00:42.906  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Attack-start.png'
00:43.687  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Attack-release.png'
00:44.484  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Attack-end.png'
00:46.094  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Active-start.png'
00:48.250  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Active-release.png'
00:49.937  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Active-end.png'
00:50.609  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Hit-start.png'
00:51.359  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Hit-release.png'
00:52.094  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Hit-end.png'
00:52.719  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Defeat-start.png'
00:53.328  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Defeat-release.png'
00:54.016  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Defeat-end.png'
00:54.812  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Victory-start.png'
00:55.469  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Victory-release.png'
00:56.078  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T155929Z\pippa\Victory-end.png'
00:57.125  render           | Video append frame 1
00:57.141  render           | Video append frame 2
00:57.172  render           | Video append frame 3
00:57.187  render           | Video append frame 4
00:57.203  render           | Video append frame 5
00:57.234  render           | Video append frame 6
00:57.250  render           | Video append frame 7
00:57.281  render           | Video append frame 8
00:57.297  render           | Video append frame 9
00:57.312  render           | Video append frame 10
00:57.344  render           | Video append frame 11
00:57.359  render           | Video append frame 12
00:57.391  render           | Video append frame 13
00:57.406  render           | Video append frame 14
00:57.422  render           | Video append frame 15
00:57.453  render           | Video append frame 16
00:57.469  render           | Video append frame 17
00:57.500  render           | Video append frame 18
00:57.516  render           | Video append frame 19
00:57.547  render           | Video append frame 20
00:57.562  render           | Video append frame 21
00:57.578  render           | Video append frame 22
00:57.609  render           | Video append frame 23
00:57.625  render           | Video append frame 24
00:57.656  render           | Video append frame 25
00:57.672  render           | Video append frame 26
00:57.703  render           | Video append frame 27
00:57.719  render           | Video append frame 28
00:57.734  render           | Video append frame 29
00:57.766  render           | Video append frame 30
00:57.781  render           | Video append frame 31
00:57.797  render           | Video append frame 32
00:57.828  render           | Video append frame 33
00:57.844  render           | Video append frame 34
00:57.859  render           | Video append frame 35
00:57.891  render           | Video append frame 36
00:57.906  render           | Video append frame 37
00:57.937  render           | Video append frame 38
00:57.969  render           | Video append frame 39
00:57.984  render           | Video append frame 40
00:58.000  render           | Video append frame 41
00:58.031  render           | Video append frame 42
00:58.047  render           | Video append frame 43
00:58.062  render           | Video append frame 44
00:58.094  render           | Video append frame 45
00:58.109  render           | Video append frame 46
00:58.125  render           | Video append frame 47
00:58.156  render           | Video append frame 48
00:58.172  render           | Video append frame 49
00:58.203  render           | Video append frame 50
00:58.219  render           | Video append frame 51
00:58.250  render           | Video append frame 52
00:58.266  render           | Video append frame 53
00:58.281  render           | Video append frame 54
00:58.312  render           | Video append frame 55
00:58.328  render           | Video append frame 56
00:58.344  render           | Video append frame 57
00:58.375  render           | Video append frame 58
00:58.391  render           | Video append frame 59
00:58.422  render           | Video append frame 60
00:58.437  render           | Video append frame 61
00:58.469  render           | Video append frame 62
00:58.484  render           | Video append frame 63
00:58.500  render           | Video append frame 64
00:58.531  render           | Video append frame 65
00:58.547  render           | Video append frame 66
00:58.562  render           | Video append frame 67
00:58.594  render           | Video append frame 68
00:58.609  render           | Video append frame 69
00:58.641  render           | Video append frame 70
00:58.656  render           | Video append frame 71
00:58.672  render           | Video append frame 72
00:58.703  render           | Video append frame 73
00:58.719  render           | Video append frame 74
00:58.750  render           | Video append frame 75
00:58.766  render           | Video append frame 76
00:58.781  render           | Video append frame 77
00:58.812  render           | Video append frame 78
00:58.828  render           | Video append frame 79
00:58.859  render           | Video append frame 80
00:58.875  render           | Video append frame 81
00:58.906  render           | Video append frame 82
00:58.922  render           | Video append frame 83
00:58.953  render           | Video append frame 84
00:58.984  render           | Video append frame 85
00:59.000  render           | Video append frame 86
00:59.031  render           | Video append frame 87
00:59.047  render           | Video append frame 88
00:59.078  render           | Video append frame 89
00:59.094  render           | Video append frame 90
00:59.125  render           | Video append frame 91
00:59.141  render           | Video append frame 92
00:59.156  render           | Video append frame 93
00:59.187  render           | Video append frame 94
00:59.203  render           | Video append frame 95
00:59.234  render           | Video append frame 96
00:59.266  render           | Video append frame 97
00:59.281  render           | Video append frame 98
00:59.312  render           | Video append frame 99
00:59.344  render           | Video append frame 100
00:59.359  render           | Video append frame 101
00:59.391  render           | Video append frame 102
00:59.406  render           | Video append frame 103
00:59.437  render           | Video append frame 104
00:59.453  render           | Video append frame 105
00:59.469  render           | Video append frame 106
00:59.500  render           | Video append frame 107
00:59.516  render           | Video append frame 108
00:59.547  render           | Video append frame 109
00:59.562  render           | Video append frame 110
00:59.594  render           | Video append frame 111
00:59.609  render           | Video append frame 112
00:59.641  render           | Video append frame 113
00:59.656  render           | Video append frame 114
00:59.687  render           | Video append frame 115
00:59.703  render           | Video append frame 116
00:59.734  render           | Video append frame 117
00:59.750  render           | Video append frame 118
00:59.781  render           | Video append frame 119
00:59.812  render           | Video append frame 120
00:59.828  render           | Video append frame 121
00:59.875  render           | Video append frame 1
00:59.891  render           | Video append frame 2
00:59.922  render           | Video append frame 3
00:59.937  render           | Video append frame 4
00:59.969  render           | Video append frame 5
00:59.984  render           | Video append frame 6
01:00.016  render           | Video append frame 7
01:00.047  render           | Video append frame 8
01:00.062  render           | Video append frame 9
01:00.078  render           | Video append frame 10
01:00.109  render           | Video append frame 11
01:00.125  render           | Video append frame 12
01:00.156  render           | Video append frame 13
01:00.172  render           | Video append frame 14
01:00.203  render           | Video append frame 15
01:00.219  render           | Video append frame 16
01:00.250  render           | Video append frame 17
