frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919935.147452600,492863,frame-00000.png
1,0.100000001,16919935.215906501,479074,frame-00001.png
2,0.150000006,16919935.288038600,499574,frame-00002.png
3,0.200000003,16919935.359418701,492625,frame-00003.png
4,0.250000000,16919935.428665299,486176,frame-00004.png
5,0.300000012,16919935.500016499,489886,frame-00005.png
6,0.350000024,16919935.571711902,493434,frame-00006.png
7,0.000000030,16919935.639244199,492713,frame-00007.png
8,0.050000031,16919935.707243599,493141,frame-00008.png
