experiment,seed,rounds,simulated_ms,capped,bot_rejects
3,1,29,1199250,0,0
3,2,33,1206900,0,0
3,3,33,1313000,0,0
3,4,33,1367650,0,0
3,5,32,1334950,0,0
3,6,34,1314950,0,0
3,7,30,1255300,0,0
3,8,34,1243100,0,0
3,9,34,1409950,0,0
3,10,33,1379800,0,0
3,11,31,1214050,0,0
3,12,28,1188650,0,0
3,13,27,1051250,0,0
3,14,30,1184650,0,0
3,15,29,1173800,0,0
3,16,28,1132950,0,0
3,17,28,1118900,0,0
3,18,31,1218100,0,0
3,19,31,1186850,0,0
3,20,35,1367150,0,0
3,21,34,1409600,0,0
3,22,33,1218250,0,0
3,23,34,1414200,0,0
3,24,30,1233850,0,0
3,25,29,1262200,0,0
4,1,29,1199950,0,0
4,2,32,1190800,0,0
4,3,33,1297950,0,0
4,4,33,1371650,0,0
4,5,32,1330300,0,0
4,6,33,1269150,0,0
4,7,28,1174650,0,0
4,8,33,1214550,0,0
4,9,34,1391850,0,0
4,10,27,1133800,0,0
4,11,31,1234000,0,0
4,12,27,1139500,0,0
4,13,29,1170050,0,0
4,14,29,1154450,0,0
4,15,29,1161350,0,0
4,16,28,1128900,0,0
4,17,28,1117700,0,0
4,18,31,1205150,0,0
4,19,31,1174700,0,0
4,20,34,1340250,0,0
4,21,34,1401700,0,0
4,22,33,1222150,0,0
4,23,34,1406750,0,0
4,24,28,1161400,0,0
4,25,29,1258600,0,0
