experiment,seed,rounds,simulated_ms,capped,bot_rejects
5,1,29,1200300,0,0
5,2,34,1242150,0,0
5,3,33,1325600,0,0
5,4,33,1391000,0,0
5,5,32,1349900,0,0
5,6,34,1343400,0,0
5,7,31,1285350,0,0
5,8,34,1249850,0,0
5,9,34,1400450,0,0
5,10,33,1406350,0,0
5,11,31,1214000,0,0
5,12,28,1178650,0,0
5,13,28,1094650,0,0
5,14,31,1216650,0,0
5,15,31,1251950,0,0
5,16,29,1174850,0,0
5,17,28,1116800,0,0
5,18,31,1232050,0,0
5,19,31,1185850,0,0
5,20,37,1470100,0,0
5,21,35,1450800,0,0
5,22,34,1261650,0,0
5,23,35,1465600,0,0
5,24,31,1281950,0,0
5,25,31,1356250,0,0
6,1,29,1204450,0,0
6,2,34,1230700,0,0
6,3,33,1316000,0,0
6,4,32,1336250,0,0
6,5,32,1338100,0,0
6,6,33,1277350,0,0
6,7,31,1268650,0,0
6,8,32,1221750,0,0
6,9,37,1494100,0,0
6,10,33,1395850,0,0
6,11,31,1204950,0,0
6,12,28,1178750,0,0
6,13,29,1136700,0,0
6,14,32,1268200,0,0
6,15,31,1241550,0,0
6,16,29,1160900,0,0
6,17,28,1112750,0,0
6,18,31,1230400,0,0
6,19,31,1188050,0,0
6,20,37,1454200,0,0
6,21,35,1441500,0,0
6,22,34,1255800,0,0
6,23,35,1450450,0,0
6,24,31,1272850,0,0
6,25,31,1359450,0,0
