fight,subject,pressure,star,seed,subject_side,slots_each,copies_each,purchase_gold_each,winner_side,subject_result,ticks,simulated_ms,timeout,subject_survivors,pressure_survivors,event_count
67,Elin_Priest4,Ranger4_spread,1,2207,0,6,6,12,1,-1,562,28100,0,0,4,228
68,Elin_Priest4,Ranger4_spread,1,2207,1,6,6,12,0,-1,456,22800,0,0,5,197
69,Elin_Priest4,Ranger4_spread,1,3301,0,6,6,12,1,-1,622,31100,0,0,4,236
70,Elin_Priest4,Ranger4_spread,1,3301,1,6,6,12,0,-1,613,30650,0,0,4,234
71,Elin_Priest4,Ranger4_spread,1,4409,0,6,6,12,1,-1,622,31100,0,0,4,237
72,Elin_Priest4,Ranger4_spread,1,4409,1,6,6,12,0,-1,537,26850,0,0,4,215
73,Elin_Priest4,Ranger4_spread,2,1103,0,6,18,36,1,-1,586,29300,0,0,4,224
74,Elin_Priest4,Ranger4_spread,2,1103,1,6,18,36,0,-1,615,30750,0,0,4,241
75,Elin_Priest4,Ranger4_spread,2,2207,0,6,18,36,1,-1,592,29600,0,0,4,230
76,Elin_Priest4,Ranger4_spread,2,2207,1,6,18,36,0,-1,453,22650,0,0,5,198
77,Elin_Priest4,Ranger4_spread,2,3301,0,6,18,36,1,-1,610,30500,0,0,4,238
78,Elin_Priest4,Ranger4_spread,2,3301,1,6,18,36,0,-1,602,30100,0,0,4,230
79,Elin_Priest4,Ranger4_spread,2,4409,0,6,18,36,1,-1,622,31100,0,0,4,243
80,Elin_Priest4,Ranger4_spread,2,4409,1,6,18,36,0,-1,566,28300,0,0,4,225
81,Elin_Priest4,Control_mixed,1,1103,0,6,6,12,0,1,770,38500,0,4,0,310
82,Elin_Priest4,Control_mixed,1,1103,1,6,6,12,1,1,752,37600,0,6,0,326
83,Elin_Priest4,Control_mixed,1,2207,0,6,6,12,0,1,800,40000,1,3,1,310
84,Elin_Priest4,Control_mixed,1,2207,1,6,6,12,0,-1,800,40000,1,2,3,294
85,Elin_Priest4,Control_mixed,1,3301,0,6,6,12,0,1,775,38750,0,5,0,347
86,Elin_Priest4,Control_mixed,1,3301,1,6,6,12,1,1,782,39100,0,5,0,349
87,Elin_Priest4,Control_mixed,1,4409,0,6,6,12,0,1,799,39950,0,5,0,326
88,Elin_Priest4,Control_mixed,1,4409,1,6,6,12,1,1,800,40000,1,3,1,313
89,Elin_Priest4,Control_mixed,2,1103,0,6,18,36,0,1,738,36900,0,5,0,315
90,Elin_Priest4,Control_mixed,2,1103,1,6,18,36,1,1,763,38150,0,6,0,331
91,Elin_Priest4,Control_mixed,2,2207,0,6,18,36,0,1,800,40000,1,3,1,304
92,Elin_Priest4,Control_mixed,2,2207,1,6,18,36,0,-1,800,40000,1,2,3,294
93,Elin_Priest4,Control_mixed,2,3301,0,6,18,36,0,1,747,37350,0,5,0,345
94,Elin_Priest4,Control_mixed,2,3301,1,6,18,36,1,1,730,36500,0,5,0,346
95,Elin_Priest4,Control_mixed,2,4409,0,6,18,36,0,1,797,39850,0,6,0,336
96,Elin_Priest4,Control_mixed,2,4409,1,6,18,36,1,1,800,40000,1,4,1,317
97,Elin_Elf4,Warrior4_frontline,1,1103,0,6,6,12,1,-1,800,40000,1,2,1,259
98,Elin_Elf4,Warrior4_frontline,1,1103,1,6,6,12,0,-1,558,27900,0,0,4,214
99,Elin_Elf4,Warrior4_frontline,1,2207,0,6,6,12,1,-1,590,29500,0,0,3,218
100,Elin_Elf4,Warrior4_frontline,1,2207,1,6,6,12,0,-1,630,31500,0,0,3,215
101,Elin_Elf4,Warrior4_frontline,1,3301,0,6,6,12,1,-1,800,40000,1,1,2,258
102,Elin_Elf4,Warrior4_frontline,1,3301,1,6,6,12,0,-1,611,30550,0,0,3,212
103,Elin_Elf4,Warrior4_frontline,1,4409,0,6,6,12,0,1,647,32350,0,3,0,260
104,Elin_Elf4,Warrior4_frontline,1,4409,1,6,6,12,0,-1,800,40000,1,1,2,248
105,Elin_Elf4,Warrior4_frontline,2,1103,0,6,18,36,1,-1,800,40000,1,2,1,259
106,Elin_Elf4,Warrior4_frontline,2,1103,1,6,18,36,0,-1,580,29000,0,0,4,216
107,Elin_Elf4,Warrior4_frontline,2,2207,0,6,18,36,1,-1,580,29000,0,0,4,216
108,Elin_Elf4,Warrior4_frontline,2,2207,1,6,18,36,0,-1,616,30800,0,0,3,213
109,Elin_Elf4,Warrior4_frontline,2,3301,0,6,18,36,1,-1,800,40000,1,1,2,249
110,Elin_Elf4,Warrior4_frontline,2,3301,1,6,18,36,0,-1,611,30550,0,0,3,212
111,Elin_Elf4,Warrior4_frontline,2,4409,0,6,18,36,0,1,638,31900,0,4,0,260
112,Elin_Elf4,Warrior4_frontline,2,4409,1,6,18,36,0,-1,784,39200,0,0,2,244
113,Elin_Elf4,Ranger4_spread,1,1103,0,6,6,12,1,-1,493,24650,0,0,3,187
114,Elin_Elf4,Ranger4_spread,1,1103,1,6,6,12,0,-1,398,19900,0,0,4,171
115,Elin_Elf4,Ranger4_spread,1,2207,0,6,6,12,1,-1,497,24850,0,0,4,190
116,Elin_Elf4,Ranger4_spread,1,2207,1,6,6,12,0,-1,472,23600,0,0,4,186
117,Elin_Elf4,Ranger4_spread,1,3301,0,6,6,12,1,-1,503,25150,0,0,3,186
118,Elin_Elf4,Ranger4_spread,1,3301,1,6,6,12,0,-1,475,23750,0,0,3,187
119,Elin_Elf4,Ranger4_spread,1,4409,0,6,6,12,1,-1,440,22000,0,0,4,173
120,Elin_Elf4,Ranger4_spread,1,4409,1,6,6,12,0,-1,496,24800,0,0,4,190
121,Elin_Elf4,Ranger4_spread,2,1103,0,6,18,36,1,-1,493,24650,0,0,3,187
122,Elin_Elf4,Ranger4_spread,2,1103,1,6,18,36,0,-1,398,19900,0,0,4,171
123,Elin_Elf4,Ranger4_spread,2,2207,0,6,18,36,1,-1,499,24950,0,0,4,190
124,Elin_Elf4,Ranger4_spread,2,2207,1,6,18,36,0,-1,472,23600,0,0,4,186
125,Elin_Elf4,Ranger4_spread,2,3301,0,6,18,36,1,-1,503,25150,0,0,3,186
126,Elin_Elf4,Ranger4_spread,2,3301,1,6,18,36,0,-1,475,23750,0,0,3,187
127,Elin_Elf4,Ranger4_spread,2,4409,0,6,18,36,1,-1,440,22000,0,0,4,173
128,Elin_Elf4,Ranger4_spread,2,4409,1,6,18,36,0,-1,494,24700,0,0,4,190
129,Elin_Elf4,Control_mixed,1,1103,0,6,6,12,1,-1,678,33900,0,0,3,289
130,Elin_Elf4,Control_mixed,1,1103,1,6,6,12,0,-1,701,35050,0,0,4,288
131,Elin_Elf4,Control_mixed,1,2207,0,6,6,12,1,-1,800,40000,1,1,2,286
132,Elin_Elf4,Control_mixed,1,2207,1,6,6,12,0,-1,677,33850,0,0,4,267
133,Elin_Elf4,Control_mixed,1,3301,0,6,6,12,0,1,602,30100,0,5,0,258
134,Elin_Elf4,Control_mixed,1,3301,1,6,6,12,1,1,562,28100,0,5,0,263
135,Elin_Elf4,Control_mixed,1,4409,0,6,6,12,0,1,570,28500,0,5,0,244
136,Elin_Elf4,Control_mixed,1,4409,1,6,6,12,1,1,730,36500,0,4,0,278
137,Elin_Elf4,Control_mixed,2,1103,0,6,18,36,0,1,647,32350,0,3,0,274
138,Elin_Elf4,Control_mixed,2,1103,1,6,18,36,0,-1,732,36600,0,0,3,293
139,Elin_Elf4,Control_mixed,2,2207,0,6,18,36,1,-1,800,40000,1,1,2,287
140,Elin_Elf4,Control_mixed,2,2207,1,6,18,36,0,-1,677,33850,0,0,4,267
141,Elin_Elf4,Control_mixed,2,3301,0,6,18,36,0,1,602,30100,0,5,0,260
142,Elin_Elf4,Control_mixed,2,3301,1,6,18,36,1,1,567,28350,0,5,0,265
143,Elin_Elf4,Control_mixed,2,4409,0,6,18,36,0,1,570,28500,0,5,0,244
144,Elin_Elf4,Control_mixed,2,4409,1,6,18,36,1,1,729,36450,0,4,0,278
145,Iri_Rogue4,Warrior4_frontline,1,1103,0,6,6,12,1,-1,637,31850,0,0,1,217
146,Iri_Rogue4,Warrior4_frontline,1,1103,1,6,6,12,1,1,731,36550,0,1,0,220
147,Iri_Rogue4,Warrior4_frontline,1,2207,0,6,6,12,1,-1,543,27150,0,0,3,204
148,Iri_Rogue4,Warrior4_frontline,1,2207,1,6,6,12,0,-1,515,25750,0,0,4,196
149,Iri_Rogue4,Warrior4_frontline,1,3301,0,6,6,12,0,1,553,27650,0,2,0,208
150,Iri_Rogue4,Warrior4_frontline,1,3301,1,6,6,12,1,1,492,24600,0,2,0,204
151,Iri_Rogue4,Warrior4_frontline,1,4409,0,6,6,12,0,1,482,24100,0,2,0,214
152,Iri_Rogue4,Warrior4_frontline,1,4409,1,6,6,12,0,-1,732,36600,0,0,2,226
153,Iri_Rogue4,Warrior4_frontline,2,1103,0,6,18,36,0,1,635,31750,0,2,0,221
154,Iri_Rogue4,Warrior4_frontline,2,1103,1,6,18,36,1,1,588,29400,0,3,0,210
155,Iri_Rogue4,Warrior4_frontline,2,2207,0,6,18,36,1,-1,543,27150,0,0,3,204
156,Iri_Rogue4,Warrior4_frontline,2,2207,1,6,18,36,0,-1,517,25850,0,0,4,196
157,Iri_Rogue4,Warrior4_frontline,2,3301,0,6,18,36,0,1,538,26900,0,2,0,206
158,Iri_Rogue4,Warrior4_frontline,2,3301,1,6,18,36,1,1,507,25350,0,3,0,205
159,Iri_Rogue4,Warrior4_frontline,2,4409,0,6,18,36,0,1,482,24100,0,2,0,214
160,Iri_Rogue4,Warrior4_frontline,2,4409,1,6,18,36,0,-1,732,36600,0,0,2,226
161,Iri_Rogue4,Ranger4_spread,1,1103,0,6,6,12,1,-1,424,21200,0,0,3,162
162,Iri_Rogue4,Ranger4_spread,1,1103,1,6,6,12,0,-1,501,25050,0,0,2,178
163,Iri_Rogue4,Ranger4_spread,1,2207,0,6,6,12,1,-1,374,18700,0,0,5,152
164,Iri_Rogue4,Ranger4_spread,1,2207,1,6,6,12,0,-1,393,19650,0,0,5,147
165,Iri_Rogue4,Ranger4_spread,1,3301,0,6,6,12,1,-1,526,26300,0,0,1,188
166,Iri_Rogue4,Ranger4_spread,1,3301,1,6,6,12,0,-1,598,29900,0,0,1,195
167,Iri_Rogue4,Ranger4_spread,1,4409,0,6,6,12,1,-1,501,25050,0,0,2,172
168,Iri_Rogue4,Ranger4_spread,1,4409,1,6,6,12,0,-1,428,21400,0,0,4,155
169,Iri_Rogue4,Ranger4_spread,2,1103,0,6,18,36,1,-1,424,21200,0,0,3,161
170,Iri_Rogue4,Ranger4_spread,2,1103,1,6,18,36,0,-1,501,25050,0,0,2,178
171,Iri_Rogue4,Ranger4_spread,2,2207,0,6,18,36,1,-1,374,18700,0,0,5,152
172,Iri_Rogue4,Ranger4_spread,2,2207,1,6,18,36,0,-1,393,19650,0,0,5,147
173,Iri_Rogue4,Ranger4_spread,2,3301,0,6,18,36,1,-1,526,26300,0,0,1,188
174,Iri_Rogue4,Ranger4_spread,2,3301,1,6,18,36,0,-1,598,29900,0,0,1,195
175,Iri_Rogue4,Ranger4_spread,2,4409,0,6,18,36,1,-1,491,24550,0,0,2,172
176,Iri_Rogue4,Ranger4_spread,2,4409,1,6,18,36,0,-1,406,20300,0,0,4,152
177,Iri_Rogue4,Control_mixed,1,1103,0,6,6,12,0,1,429,21450,0,5,0,198
178,Iri_Rogue4,Control_mixed,1,1103,1,6,6,12,1,1,427,21350,0,5,0,207
179,Iri_Rogue4,Control_mixed,1,2207,0,6,6,12,0,1,738,36900,0,2,0,256
180,Iri_Rogue4,Control_mixed,1,2207,1,6,6,12,1,1,558,27900,0,4,0,223
181,Iri_Rogue4,Control_mixed,1,3301,0,6,6,12,0,1,630,31500,0,2,0,238
182,Iri_Rogue4,Control_mixed,1,3301,1,6,6,12,1,1,533,26650,0,4,0,224
183,Iri_Rogue4,Control_mixed,1,4409,0,6,6,12,0,1,549,27450,0,4,0,217
184,Iri_Rogue4,Control_mixed,1,4409,1,6,6,12,1,1,800,40000,1,2,1,254
185,Iri_Rogue4,Control_mixed,2,1103,0,6,18,36,0,1,429,21450,0,5,0,198
186,Iri_Rogue4,Control_mixed,2,1103,1,6,18,36,1,1,431,21550,0,5,0,205
187,Iri_Rogue4,Control_mixed,2,2207,0,6,18,36,0,1,741,37050,0,2,0,256
188,Iri_Rogue4,Control_mixed,2,2207,1,6,18,36,1,1,561,28050,0,4,0,223
189,Iri_Rogue4,Control_mixed,2,3301,0,6,18,36,0,1,630,31500,0,2,0,238
190,Iri_Rogue4,Control_mixed,2,3301,1,6,18,36,1,1,538,26900,0,4,0,224
191,Iri_Rogue4,Control_mixed,2,4409,0,6,18,36,0,1,546,27300,0,4,0,217
192,Iri_Rogue4,Control_mixed,2,4409,1,6,18,36,1,1,800,40000,1,2,1,250
