fight,subject,pressure,star,seed,subject_side,slots_each,copies_each,purchase_gold_each,winner_side,subject_result,ticks,simulated_ms,timeout,subject_survivors,pressure_survivors,event_count
1,Neris_Mage4,Warrior4_frontline,1,1103,0,6,6,12,0,1,443,22150,0,4,0,165
2,Neris_Mage4,Warrior4_frontline,1,1103,1,6,6,12,1,1,409,20450,0,4,0,156
3,Neris_Mage4,Warrior4_frontline,1,2207,0,6,6,12,0,1,775,38750,0,1,0,202
4,Neris_Mage4,Warrior4_frontline,1,2207,1,6,6,12,1,1,507,25350,0,3,0,176
5,Neris_Mage4,Warrior4_frontline,1,3301,0,6,6,12,0,1,582,29100,0,3,0,185
6,Neris_Mage4,Warrior4_frontline,1,3301,1,6,6,12,1,1,568,28400,0,3,0,186
7,Neris_Mage4,Warrior4_frontline,1,4409,0,6,6,12,0,1,452,22600,0,3,0,169
8,Neris_Mage4,Warrior4_frontline,1,4409,1,6,6,12,1,1,646,32300,0,2,0,193
9,Neris_Mage4,Warrior4_frontline,2,1103,0,6,18,36,0,1,443,22150,0,4,0,165
10,Neris_Mage4,Warrior4_frontline,2,1103,1,6,18,36,1,1,409,20450,0,4,0,156
11,Neris_Mage4,Warrior4_frontline,2,2207,0,6,18,36,0,1,775,38750,0,1,0,202
12,Neris_Mage4,Warrior4_frontline,2,2207,1,6,18,36,1,1,507,25350,0,3,0,176
13,Neris_Mage4,Warrior4_frontline,2,3301,0,6,18,36,0,1,582,29100,0,3,0,185
14,Neris_Mage4,Warrior4_frontline,2,3301,1,6,18,36,1,1,568,28400,0,2,0,186
15,Neris_Mage4,Warrior4_frontline,2,4409,0,6,18,36,0,1,452,22600,0,3,0,169
16,Neris_Mage4,Warrior4_frontline,2,4409,1,6,18,36,1,1,646,32300,0,2,0,193
17,Neris_Mage4,Ranger4_spread,1,1103,0,6,6,12,1,-1,491,24550,0,0,3,162
18,Neris_Mage4,Ranger4_spread,1,1103,1,6,6,12,0,-1,475,23750,0,0,3,156
19,Neris_Mage4,Ranger4_spread,1,2207,0,6,6,12,1,-1,469,23450,0,0,4,159
20,Neris_Mage4,Ranger4_spread,1,2207,1,6,6,12,0,-1,472,23600,0,0,3,160
21,Neris_Mage4,Ranger4_spread,1,3301,0,6,6,12,1,-1,511,25550,0,0,3,170
22,Neris_Mage4,Ranger4_spread,1,3301,1,6,6,12,0,-1,462,23100,0,0,4,160
23,Neris_Mage4,Ranger4_spread,1,4409,0,6,6,12,1,-1,489,24450,0,0,4,163
24,Neris_Mage4,Ranger4_spread,1,4409,1,6,6,12,0,-1,462,23100,0,0,4,158
25,Neris_Mage4,Ranger4_spread,2,1103,0,6,18,36,1,-1,491,24550,0,0,3,162
26,Neris_Mage4,Ranger4_spread,2,1103,1,6,18,36,0,-1,475,23750,0,0,3,156
27,Neris_Mage4,Ranger4_spread,2,2207,0,6,18,36,1,-1,469,23450,0,0,4,159
28,Neris_Mage4,Ranger4_spread,2,2207,1,6,18,36,0,-1,473,23650,0,0,3,160
29,Neris_Mage4,Ranger4_spread,2,3301,0,6,18,36,1,-1,511,25550,0,0,3,170
30,Neris_Mage4,Ranger4_spread,2,3301,1,6,18,36,0,-1,462,23100,0,0,4,160
31,Neris_Mage4,Ranger4_spread,2,4409,0,6,18,36,1,-1,491,24550,0,0,3,159
32,Neris_Mage4,Ranger4_spread,2,4409,1,6,18,36,0,-1,462,23100,0,0,4,158
33,Neris_Mage4,Control_mixed,1,1103,0,6,6,12,0,1,464,23200,0,4,0,169
34,Neris_Mage4,Control_mixed,1,1103,1,6,6,12,1,1,504,25200,0,4,0,183
35,Neris_Mage4,Control_mixed,1,2207,0,6,6,12,0,1,577,28850,0,4,0,200
36,Neris_Mage4,Control_mixed,1,2207,1,6,6,12,1,1,559,27950,0,4,0,191
37,Neris_Mage4,Control_mixed,1,3301,0,6,6,12,0,1,503,25150,0,4,0,195
38,Neris_Mage4,Control_mixed,1,3301,1,6,6,12,1,1,501,25050,0,5,0,187
39,Neris_Mage4,Control_mixed,1,4409,0,6,6,12,0,1,530,26500,0,4,0,182
40,Neris_Mage4,Control_mixed,1,4409,1,6,6,12,1,1,466,23300,0,5,0,175
41,Neris_Mage4,Control_mixed,2,1103,0,6,18,36,0,1,464,23200,0,4,0,169
42,Neris_Mage4,Control_mixed,2,1103,1,6,18,36,1,1,504,25200,0,4,0,183
43,Neris_Mage4,Control_mixed,2,2207,0,6,18,36,0,1,581,29050,0,4,0,200
44,Neris_Mage4,Control_mixed,2,2207,1,6,18,36,1,1,531,26550,0,4,0,188
45,Neris_Mage4,Control_mixed,2,3301,0,6,18,36,0,1,503,25150,0,4,0,195
46,Neris_Mage4,Control_mixed,2,3301,1,6,18,36,1,1,501,25050,0,5,0,186
47,Neris_Mage4,Control_mixed,2,4409,0,6,18,36,0,1,530,26500,0,4,0,182
48,Neris_Mage4,Control_mixed,2,4409,1,6,18,36,1,1,466,23300,0,5,0,175
49,Elin_Priest4,Warrior4_frontline,1,1103,0,6,6,12,1,-1,800,40000,1,2,2,303
50,Elin_Priest4,Warrior4_frontline,1,1103,1,6,6,12,0,-1,656,32800,0,0,4,250
51,Elin_Priest4,Warrior4_frontline,1,2207,0,6,6,12,1,-1,800,40000,1,1,3,311
52,Elin_Priest4,Warrior4_frontline,1,2207,1,6,6,12,0,-1,650,32500,0,0,4,255
53,Elin_Priest4,Warrior4_frontline,1,3301,0,6,6,12,0,1,800,40000,1,3,2,310
54,Elin_Priest4,Warrior4_frontline,1,3301,1,6,6,12,0,-1,800,40000,1,2,2,298
55,Elin_Priest4,Warrior4_frontline,1,4409,0,6,6,12,0,1,800,40000,1,2,2,312
56,Elin_Priest4,Warrior4_frontline,1,4409,1,6,6,12,0,-1,800,40000,1,2,3,287
57,Elin_Priest4,Warrior4_frontline,2,1103,0,6,18,36,0,1,800,40000,1,2,2,309
58,Elin_Priest4,Warrior4_frontline,2,1103,1,6,18,36,0,-1,673,33650,0,0,3,258
59,Elin_Priest4,Warrior4_frontline,2,2207,0,6,18,36,0,1,800,40000,1,2,2,315
60,Elin_Priest4,Warrior4_frontline,2,2207,1,6,18,36,0,-1,625,31250,0,0,4,251
61,Elin_Priest4,Warrior4_frontline,2,3301,0,6,18,36,0,1,800,40000,1,3,1,317
62,Elin_Priest4,Warrior4_frontline,2,3301,1,6,18,36,1,1,800,40000,1,2,2,304
63,Elin_Priest4,Warrior4_frontline,2,4409,0,6,18,36,0,1,800,40000,1,3,1,323
64,Elin_Priest4,Warrior4_frontline,2,4409,1,6,18,36,0,-1,800,40000,1,1,3,281
65,Elin_Priest4,Ranger4_spread,1,1103,0,6,6,12,1,-1,574,28700,0,0,4,220
66,Elin_Priest4,Ranger4_spread,1,1103,1,6,6,12,0,-1,590,29500,0,0,3,228
